,delta dom,delta int
USA,0.0799607371764471,0.0799607371764471
EUR,0.0857889959653601,0.0857889959653601
JAP,0.0961700248597188,0.0961700248597188
CHN,0.1355040397838063,0.1355040397838063
BRA,0.1541179599148728,0.1541179599148728
IND,0.2206744212255164,0.2206744212255164
CAN,0.0645070568189325,0.0645070568189325
KOR,0.0586332942139562,0.0586332942139562
RUS,0.2080769795747974,0.2080769795747974
MEX,0.1872208060106077,0.1872208060106077
ZAF,0.1533127599601031,0.1533127599601031
ROW,1.3925407615950007,1.3925407615950007
count,12.0,12.0
mean,0.23637565309159325,0.23637565309159325
std,0.3682826115076486,0.3682826115076486
min,0.0586332942139562,0.0586332942139562
25%,0.08433193126813185,0.08433193126813185
50%,0.1444083998719547,0.1444083998719547
75%,0.19243484940165512,0.19243484940165512
max,1.3925407615950007,1.3925407615950007
