,Patent
USA,0.0273833447112798
EUR,0.0152155591008639
JAP,0.0273029843594241
CHN,0.0034019211236819
BRA,0.0014000529228301
IND,0.0008375954504553
CAN,0.0118031518455449
KOR,0.0158852590909651
RUS,0.0013495989702343
MEX,0.0010523325568488
ZAF,0.0015219993163798
ROW,0.0023448955121955
count,12.0
mean,0.00912489124672529
std,0.010199307229998364
min,0.0008375954504553
25%,0.00138743943468115
50%,0.0028734083179386997
75%,0.0153829840983892
max,0.0273833447112798
