,delta_dom,delta_int,welfare
USA,0.01,0.01,0.7829806232980019
EUR,0.01,0.01,1.5754704776340418
JAP,0.01,0.01,1.5643432360359526
CHN,12.0,12.0,8.537924562057071
BRA,12.0,12.0,7.8786958267212555
IND,12.0,12.0,7.586849269989585
CAN,0.01,0.01,3.2802066467697557
KOR,0.01,0.01,3.2541195849875066
RUS,12.0,12.0,7.742899874114755
MEX,12.0,12.0,7.462900292621583
ZAF,12.0,12.0,7.73431263850361
ROW,8.961606440767353,8.961606440767353,7.273127500492009
Negishi,,,4.990349391436851
Equal,,,7.325691039561065
