,delta_dom,delta_int,welfare
USA,0.01,0.01,0.9746078859702152
EUR,0.01,0.01,1.8390549745642488
JAP,0.01,0.01,1.8321202309834916
CHN,0.01,12.0,8.65750313823925
BRA,0.01,12.0,8.16760000144005
IND,0.01,12.0,7.850328180844173
CAN,0.01,0.01,3.56034937456144
KOR,0.01,0.01,3.543207714735047
RUS,0.01,12.0,8.037679394910398
MEX,0.01,12.0,7.746181271189627
ZAF,0.01,12.0,8.02761925747835
ROW,0.01,12.0,7.418498041797932
Negishi,,,5.1935179300454735
Equal,,,7.515555654853628
