,Non patent,Patent
USA,75716.7003738057,33503.2413685027
EUR,24428.049813781607,17683.791269123984
JAP,58152.45422008759,21098.132432546983
CHN,1232.089374550747,9607.960487948149
BRA,2195.187879723486,1146.528576221903
IND,183.41503339451967,87.44761427719754
CAN,323176.4480739396,212.01999482784268
KOR,28314.004092840205,21299.846225814712
RUS,9731.548230279932,2550.5043684361563
MEX,2941.1915744101675,4297.654041453937
ZAF,2223.348863074626,937.2933072579206
ROW,432.47389977621646,244.2985502120863
count,12.0,12.0
mean,44060.57595247204,9389.059853051964
std,91341.01833295844,11264.336697321465
min,183.41503339451967,87.44761427719754
25%,1954.4132534303012,764.044617996462
50%,6336.36990234505,3424.0792049450465
75%,35773.61662465205,18537.376559979733
max,323176.4480739396,33503.2413685027
