,delta_dom,delta_int,welfare
USA,12.0,12.0,-0.2527401512296308
EUR,12.0,12.0,-0.7772376755642512
JAP,12.0,12.0,-1.142318028077824
CHN,12.0,12.0,-1.0639573946860992
BRA,12.0,12.0,-1.6818405924421143
IND,12.0,12.0,-1.8959121309564608
CAN,12.0,12.0,-0.39402259991516075
KOR,12.0,12.0,-0.14340009959748556
RUS,12.0,12.0,-2.0113698222592973
MEX,12.0,12.0,-1.8741610373298414
ZAF,12.0,12.0,-1.8689711022229716
ROW,12.0,12.0,-2.3468186416580323
Negishi,,,-1.2625273692322594
Equal,,,-1.9438848278921057
