,nu,theta,zeta,fe,fo
Patent,0.0719973017038909,6.118461290333252,0.0132452655827025,0.0542281235615135,0.030477134303935
Pharma Chemicals,0.0870464193594847,3.562604589212338,0.0444123894637968,0.0107947842019228,0.0035860502663016
