,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,3.748484155611635
EUR,0.01,0.01,6.0091337629347095
JAP,0.01,0.01,6.16170468453798
CHN,12.0,12.0,13.898707491661526
BRA,12.0,12.0,13.583367022327991
IND,12.0,12.0,13.345086179584413
CAN,0.01,0.01,8.295921163815152
KOR,0.01,0.01,8.067303714022643
RUS,12.0,0.01,11.010824901605503
MEX,0.01,0.01,5.859975045838553
ZAF,12.0,0.01,11.115604220466707
ROW,12.0,12.0,13.196122962592696
Negishi,,,9.706645261791195
Equal,,,12.919929723327513
