,Patent,Pharma Chemicals,welfare
USA,12.0,0.01,-0.888480066489123
EUR,12.0,12.0,0.5783963313711524
JAP,12.0,12.0,0.39646452984871416
CHN,12.0,12.0,0.3388442314945763
BRA,12.0,12.0,0.04400113164852826
IND,12.0,12.0,-0.09777277287376762
CAN,12.0,12.0,0.9055740899671179
KOR,12.0,12.0,0.9383471449723828
RUS,12.0,12.0,-0.14201984958835112
MEX,12.0,12.0,-0.04516226367157117
ZAF,12.0,12.0,-0.08925447028587996
ROW,12.0,12.0,-0.3978127210035325
Negishi,,,0.0014469508077041837
Equal,,,-0.17111157397060595
