,Non patent,Patent,Pharma Chemicals
USA,41524.62627627168,31183.71908968656,7904.036215635336
EUR,16679.849998269387,10416.625827818269,7311.647063574333
JAP,55388.48657358422,35123.552111584475,0.2006224301488632
CHN,2410.0603185914115,1178.289771506874,12514.810918135814
BRA,1365.1765629591678,1052.435836465854,368.2983958993031
IND,88.93018658877277,142.14213054012043,326.2773400907528
CAN,23261.59851830236,16776.726193032224,36.10658617434792
KOR,23507.030750669015,16075.738366220014,4320.29865348799
RUS,4295.29496373499,3348.1335003153627,964.0548607457918
MEX,2466.129697700934,1919.3691838736408,572.0061725337526
ZAF,1325.2052815886511,1023.8939806529506,388.9344942716415
ROW,260.7297909582498,217.38107386453385,204.9168071325224
count,12.0,12.0,12.0
mean,14381.093243268237,9871.500588796742,2909.2990108426443
std,18380.63280165146,12444.89579156422,4170.725393087667
min,88.93018658877277,142.14213054012043,0.2006224301488632
25%,1355.1837426165387,1045.3003725126282,295.9372068511952
50%,3380.712330717962,2633.7513420945015,480.47033340269707
75%,23322.956576394023,16250.985322923067,5068.135756009576
max,55388.48657358422,35123.552111584475,12514.810918135814
