,Patent,Pharma Chemicals,welfare
USA,0.01,0.01,13.421783164914075
EUR,0.01,0.01,14.673556775566496
JAP,0.01,0.01,14.863897954900395
CHN,12.0,0.01,15.70180694714955
BRA,12.0,0.01,18.498040627648862
IND,12.0,12.0,24.69324194208741
CAN,0.01,0.01,18.290288333153143
KOR,0.01,0.01,17.307867619991924
RUS,2.7465515172321333,0.01,18.516906788074266
MEX,12.0,0.01,18.957166956812245
ZAF,12.0,0.01,19.252963325737582
ROW,12.0,0.01,16.91201619209795
Negishi,,,16.231399728187327
Equal,,,19.04260609728709
