year,dev_group,avg_FE
1992,0,-1.7724278
1992,1,-.75222158
1993,0,-1.8438321
1993,1,-.75360852
1994,0,-1.3010967
1994,1,-.85162878
1995,0,-1.2084925
1995,1,-.77821779
1996,0,-1.2784821
1996,1,-.77861309
1997,0,-1.3413357
1997,1,-.68646646
1998,0,-1.1311998
1998,1,-.55394101
1999,0,-.98351699
1999,1,-.56551081
2000,0,-.82946992
2000,1,-.60531634
2001,0,-.73968726
2001,1,-.56152016
2002,0,-.7419737
2002,1,-.60529369
2003,0,-.79554582
2003,1,-.59382224
2004,0,-.81394535
2004,1,-.63268161
2005,0,-.82886237
2005,1,-.67123157
2006,0,-.84681088
2006,1,-.7287209
2007,0,-.97961289
2007,1,-.80877018
2008,0,-.92111796
2008,1,-.80618048
2009,0,-.82810426
2009,1,-.7348699
2010,0,-.95239365
2010,1,-.80938542
2011,0,-1.0784793
2011,1,-.87883127
2012,0,-1.1770407
2012,1,-.91831875
2013,0,-1.2015779
2013,1,-.87424076
2014,0,-1.2623055
2014,1,-.85547304
2015,0,-1.0717659
2015,1,-.81880158
