year,dev_group,avg_FE
1992,0,-3.694047
1992,1,-1.439576
1993,0,-3.7556958
1993,1,-1.4514022
1994,0,-3.173995
1994,1,-1.5375656
1995,0,-3.0624518
1995,1,-1.4246132
1996,0,-3.1232507
1996,1,-1.4498718
1997,0,-3.1757543
1997,1,-1.4091479
1998,0,-3.0403605
1998,1,-1.3633296
1999,0,-2.9732471
1999,1,-1.3494892
2000,0,-2.7893696
2000,1,-1.3894496
2001,0,-2.7083485
2001,1,-1.3829257
2002,0,-2.7143393
2002,1,-1.4161717
2003,0,-2.6974747
2003,1,-1.3606215
2004,0,-2.6372344
2004,1,-1.3717072
2005,0,-2.5804393
2005,1,-1.4010609
2006,0,-2.5340159
2006,1,-1.4552946
2007,0,-2.5725675
2007,1,-1.5140113
2008,0,-2.4543803
2008,1,-1.504581
2009,0,-2.3757544
2009,1,-1.4609531
2010,0,-2.3899686
2010,1,-1.4994017
2011,0,-2.4379048
2011,1,-1.5426706
2012,0,-2.5507236
2012,1,-1.6034949
2013,0,-2.5813949
2013,1,-1.5842792
2014,0,-2.66259
2014,1,-1.5828968
2015,0,-2.5823379
2015,1,-1.6110727
