origin_code,destination_code,sector,value
1,1,0,16940532.455020003
1,1,1,7296879.727515
1,2,0,184371.337366
1,2,1,251078.113916
1,3,0,47630.023233
1,3,1,58362.709193
1,4,0,53810.286282
1,4,1,58078.020265
1,5,0,20130.726468
1,5,1,27208.051547
1,6,0,16334.909892
1,6,1,21997.293424
1,7,0,355264.652323
1,7,1,581565.759331
2,1,0,187768.72445699997
2,1,1,341199.41084
2,2,0,21793480.114917003
2,2,1,10887675.95359
2,3,0,40567.407481
2,3,1,76796.74189599999
2,4,0,48556.457953000005
2,4,1,136722.47470800002
2,5,0,30174.86067
2,5,1,51667.729248
2,6,0,30995.549667
2,6,1,58674.453177999996
2,7,0,471310.591276
2,7,1,810264.646098
3,1,0,28188.380198
3,1,1,99345.10636
3,2,0,37852.487286999996
3,2,1,82689.323103
3,3,0,5788038.542267
3,3,1,3652074.432197
3,4,0,35263.811702
3,4,1,117718.826528
3,5,0,2292.162631
3,5,1,6275.787748999999
3,6,0,4393.752885
3,6,1,11840.846863
3,7,0,109286.79918199999
3,7,1,307970.86917900003
4,1,0,34778.089758
4,1,1,259771.573561
4,2,0,52232.045969
4,2,1,251852.297528
4,3,0,20518.058317
4,3,1,117847.791968
4,4,0,6588522.724271
4,4,1,7473086.444174
4,5,0,3168.447056
4,5,1,21987.849672
4,6,0,6777.843382
4,6,1,42280.537263
4,7,0,108847.848498
4,7,1,506875.90233699995
5,1,0,15580.479893000002
5,1,1,19500.561435000003
5,2,0,28339.852743000003
5,2,1,26372.209226
5,3,0,6214.088407
5,3,1,4358.070963
5,4,0,28194.425011000003
5,4,1,5602.168932
5,5,0,2236410.348888
5,5,1,1274318.361492
5,6,0,2421.7050019999997
5,6,1,2284.465991
5,7,0,35625.048588000005
5,7,1,65942.21864899999
6,1,0,13474.944811
6,1,1,61235.607692
6,2,0,21408.896395
6,2,1,66852.50644
6,3,0,1985.216801
6,3,1,7347.496519
6,4,0,8760.379442
6,4,1,11422.492377
6,5,0,2034.286471
6,5,1,6787.793514000001
6,6,0,1835408.776579
6,6,1,1049503.148419
6,7,0,36531.232168
6,7,1,122209.42376
7,1,0,540000.0809599999
7,1,1,637264.1502050001
7,2,0,704003.617179
7,2,1,575472.488547
7,3,0,258192.303573
7,3,1,161603.579087
7,4,0,355231.05932700005
7,4,1,353172.707201
7,5,0,38420.707192
7,5,1,56975.644495
7,6,0,171800.93671399998
7,6,1,88353.889326
7,7,0,18401090.865016
7,7,1,8816659.418425001
