,tariff_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
0,0.0,-2.907287528088837e-05,-2.947075042149962e-05,-3.3226272148266145e-05,-2.733246102577809e-05,-2.7253612151100102e-05,-2.7835755544510298e-05,-2.87580484495413e-05,-3.407240550015187e-05,-2.861022034293384e-05,-2.81218977505515e-05,0.0001242347586027,5.395401572064595e-05,-1.8412353639255952e-06
1,0.1333333333333333,-2.8771287370689896e-05,-2.9159146281299943e-05,-3.278282412388155e-05,-2.703913431114613e-05,-2.69425355109078e-05,-2.7594460546523048e-05,-2.837227025646568e-05,-3.370807079591731e-05,-2.829441860331056e-05,-2.785976125531026e-05,0.00012283456369,5.3273579992356506e-05,-1.788678943711741e-06
2,0.2666666666666666,-2.8448737439662885e-05,-2.884128757930237e-05,-3.2394368202840025e-05,-2.670375233344988e-05,-2.6648385041311616e-05,-2.729938956083062e-05,-2.808907614444648e-05,-3.335171336138073e-05,-2.795517925950808e-05,-2.756258997701584e-05,0.000121586979558,5.271512093782214e-05,-1.7868234341255202e-06
3,0.4,-2.8051814384313783e-05,-2.855949787642821e-05,-3.204014477109436e-05,-2.643385862780827e-05,-2.641073523696265e-05,-2.698030448230594e-05,-2.7715460127284552e-05,-3.2926166503257155e-05,-2.766841113922468e-05,-2.730456246906193e-05,0.0001200969441445,5.221806773421821e-05,-1.7894063380754625e-06
4,0.5333333333333333,-2.780274175610121e-05,-2.82243583877945e-05,-3.165592456551203e-05,-2.61105618657154e-05,-2.608227413801292e-05,-2.664451798234269e-05,-2.7423206829834707e-05,-3.25399750417627e-05,-2.736743693798073e-05,-2.7024166011427096e-05,0.0001187331369521,5.162457852823147e-05,-1.7482223839899948e-06
5,0.6666666666666666,-2.750506682034824e-05,-2.789988428151454e-05,-3.126257095236784e-05,-2.5874037780682225e-05,-2.5822850355344954e-05,-2.637325783794381e-05,-2.7076808159950286e-05,-3.2232764542958015e-05,-2.7064454282370348e-05,-2.6752988267284767e-05,0.0001173433214715,5.0956957652885626e-05,-1.6517330453739457e-06
6,0.8,-2.714269727666436e-05,-2.755048557231161e-05,-3.0885046570514047e-05,-2.562930855264768e-05,-2.5557441663260864e-05,-2.606852107276243e-05,-2.6821181088352145e-05,-3.179607309200943e-05,-2.676769355616283e-05,-2.6500229532960086e-05,0.0001162076229785,5.034366745041873e-05,-1.6727386804434436e-06
7,0.9333333333333332,-2.689147846222038e-05,-2.7283904823056456e-05,-3.054259342008145e-05,-2.529704179985172e-05,-2.527010515962584e-05,-2.577183697187524e-05,-2.6510286100126204e-05,-3.148497810019127e-05,-2.651807733385832e-05,-2.6212483409384217e-05,0.0001149185753287,4.987153483714022e-05,-1.705805848780106e-06
8,1.0666666666666669,-2.658649496234237e-05,-2.6969474918442336e-05,-3.014484716322986e-05,-2.508740382253181e-05,-2.504493248732806e-05,-2.5548137614708145e-05,-2.6224277518681333e-05,-3.108652706080067e-05,-2.6225870090250487e-05,-2.587114645289971e-05,0.0001136248437759,4.926934197934415e-05,-1.6741082943232826e-06
9,1.2,-2.628675397579088e-05,-2.662940841151655e-05,-2.9831194814090125e-05,-2.479222114680538e-05,-2.4754066907782605e-05,-2.52686612216613e-05,-2.58797075373363e-05,-3.076684831446208e-05,-2.5904969679091903e-05,-2.565578283385557e-05,0.0001124194403461,4.879832384865178e-05,-1.5968135256240716e-06
10,1.3333333333333333,-2.592155651938716e-05,-2.633944211261457e-05,-2.943489022309701e-05,-2.4533389735685697e-05,-2.4433117223965088e-05,-2.500232873640492e-05,-2.568515549220067e-05,-3.037790420376094e-05,-2.5599197401574657e-05,-2.538823215747981e-05,0.0001111875265655,4.8197341469922806e-05,-1.6214808489479472e-06
11,1.4666666666666666,-2.569153558785825e-05,-2.6030172881814533e-05,-2.9097764782685707e-05,-2.426041182084796e-05,-2.418321580865596e-05,-2.469081563337777e-05,-2.535446648402536e-05,-3.0021317279230133e-05,-2.5345662313370145e-05,-2.5106767744456263e-05,0.0001101517012324,4.781220121431727e-05,-1.546051807029826e-06
12,1.6,-2.5411737655392265e-05,-2.5731186329145328e-05,-2.8789564672456968e-05,-2.4018008020539703e-05,-2.395288323447757e-05,-2.444263144232816e-05,-2.509477545216473e-05,-2.969649626168005e-05,-2.504429440421015e-05,-2.489039870391675e-05,0.0001090191382167,4.7166643857882586e-05,-1.5123870311056049e-06
13,1.7333333333333334,-2.504761322292153e-05,-2.5461077494384952e-05,-2.841551005871958e-05,-2.373670659471385e-05,-2.3742371159023e-05,-2.421904156134814e-05,-2.4759617837659293e-05,-2.940744940108042e-05,-2.482274451035052e-05,-2.461093632219059e-05,0.0001078898561075,4.673630721812931e-05,-1.442857039211232e-06
14,1.8666666666666667,-2.475738201247447e-05,-2.516943443947142e-05,-2.8063591642157635e-05,-2.3494236233349928e-05,-2.340102921410051e-05,-2.3925699866837463e-05,-2.4508670802055307e-05,-2.904361152342145e-05,-2.4543507678844946e-05,-2.432565328538208e-05,0.0001068008311735,4.632130052164261e-05,-1.4477674390865637e-06
15,2.0,-2.4477846763141856e-05,-2.482909830201104e-05,-2.772063274422021e-05,-2.324847919046704e-05,-2.316667134915697e-05,-2.3639757242009787e-05,-2.4258505159745872e-05,-2.864931070421722e-05,-2.4280844797802183e-05,-2.40910653551354e-05,0.000105762425296,4.581223227555701e-05,-1.3995515279414315e-06
16,2.1333333333333333,-2.421182844752471e-05,-2.4591447827682088e-05,-2.7426880162632632e-05,-2.298117458609029e-05,-2.2960381786186325e-05,-2.3413017369993835e-05,-2.3966135970322296e-05,-2.8367119144431257e-05,-2.4017604008040097e-05,-2.380571025178345e-05,0.0001047215669422,4.539845219591633e-05,-1.3678891911285048e-06
17,2.2666666666666666,-2.3963696966422683e-05,-2.430349425062779e-05,-2.7084147361095145e-05,-2.270559147590312e-05,-2.2731782341009856e-05,-2.31016982261742e-05,-2.3683203813197344e-05,-2.8011540678152955e-05,-2.37413447933705e-05,-2.35974168514824e-05,0.0001036590468972,4.495672953750463e-05,-1.2834790310135245e-06
18,2.4,-2.363361102762833e-05,-2.3981610527313543e-05,-2.675732120994902e-05,-2.247575461409446e-05,-2.245888929515929e-05,-2.2928260258195587e-05,-2.3426355673935286e-05,-2.771501699377936e-05,-2.3508163260361663e-05,-2.3314057640372053e-05,0.0001027470790757,4.448582319151736e-05,-1.2589978893033496e-06
19,2.533333333333333,-2.3391782070152715e-05,-2.375512170116981e-05,-2.641606382815328e-05,-2.2215965699613568e-05,-2.225218168652118e-05,-2.264983981187434e-05,-2.316626430718262e-05,-2.739999168814222e-05,-2.322999975136712e-05,-2.3082477272154e-05,0.0001018281805151,4.4094491592552034e-05,-1.1980726033689204e-06
20,2.6666666666666665,-2.308193808390873e-05,-2.3446369170590977e-05,-2.61149166409885e-05,-2.2019930602790205e-05,-2.195942421456301e-05,-2.238900992326418e-05,-2.290851396703821e-05,-2.708328546096576e-05,-2.3004533831740066e-05,-2.2792912233007752e-05,0.0001008331000152,4.374371059082616e-05,-1.16962478686045e-06
21,2.8,-2.283185873065276e-05,-2.3208520367619785e-05,-2.5790878312998604e-05,-2.176326796059708e-05,-2.173826389222121e-05,-2.221096520199417e-05,-2.265301857563795e-05,-2.673496198954273e-05,-2.27123024251582e-05,-2.2571824057315672e-05,9.994712339750148e-05,4.333964982353224e-05,-1.1046982056399083e-06
22,2.933333333333333,-2.259984364009137e-05,-2.2892652467472355e-05,-2.5492845236528263e-05,-2.151716873271596e-05,-2.151509258124083e-05,-2.1934533234440263e-05,-2.239271800763296e-05,-2.6437802800017725e-05,-2.246935988083054e-05,-2.2346034275186675e-05,9.90420488253196e-05,4.293912165682608e-05,-1.0895251032328375e-06
23,3.0666666666666664,-2.235981225349749e-05,-2.2631350825559545e-05,-2.520531042609817e-05,-2.128405676110797e-05,-2.127371303469162e-05,-2.1696333150764226e-05,-2.214710056818959e-05,-2.614273504770699e-05,-2.221029574633493e-05,-2.21180304203754e-05,9.811807296696211e-05,4.260852956999539e-05,-9.93414361571067e-07
24,3.2,-2.2101509594956467e-05,-2.2369269508996512e-05,-2.4860697172784563e-05,-2.103852419065177e-05,-2.1083323160146346e-05,-2.1481889093823087e-05,-2.187966419622627e-05,-2.5799158865160964e-05,-2.2018972371189875e-05,-2.1866175394388046e-05,9.731047692972404e-05,4.227531108877445e-05,-9.665929797508835e-07
