moment,value
GPDIFF,0.0087725
KM,0.09277
SRDUS,0.65
GROWTH,0.0168692
JUPCOST,0.00020328841298916666
UUPCOST,0.001467242256366
TP,1.47942
SINNOVPATEU,0.3475
SINNOVPATUS,0.4000000000000001
NUR,0.10000000000000002
TE,5.0
sales_mark_up_US,1.8
ERDUS,0.15
TO,0.071287577
TOCHEM,0.08029173
TOPHARMA,0.07421839
TOPHARMACHEM,0.07944382
TOPATENT,0.070641617
AGGAVMARKUP,1.06294875
AVMARKUPPHARCHEM,1.1918881068170175
KMCHEM,0.0934238276522882
KMPHARMA,0.2602009367294988
KMPHARMACHEM,0.1767890752140332
KMPATENT,0.08472212519383131
TECHEM,3.1300000000000003
TEPHARMA,3.1300000000000003
PROBINNOVENT,0.6999999999999998
SHAREEXPMON,0.3
