,eta_BRA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.084864022706342,0.01,0.01,0.01,11.99999996796876,0.010000657386253713,11.999999317431131,0.010000582509491858,0.010000614529454263,11.999999312540137,0.01,11.99999933584382,11.999999290588338
2,0.0431575033499865,0.010000152306233582,0.010000268596554755,0.01,11.999999995362868,0.010000265627002694,12.0,0.010000277356457645,0.010000249546132765,11.999999746430719,0.01,11.999999768411422,11.99999977086169
3,0.02230424367180875,0.010000207284296484,0.010000207284296484,0.01,12.0,0.01,11.999999853373822,0.01,0.010000207284296484,12.0,0.01,12.0,12.0
4,0.011877613832719874,0.010000076448200773,0.01,0.01,12.0,0.01,12.0,0.01,0.01,12.0,0.01,12.0,12.0
5,0.006664298913175437,0.01,0.010000440163336044,0.010000440163336044,11.999999559836663,0.2417524209517858,11.999999559836663,0.01,0.01,0.4313199326566235,0.01,0.4051715702472556,11.999999559836663
6,0.009270956372947656,0.01,0.01,0.01,12.0,0.01,12.0,0.01,0.01,0.45924245183335693,0.01,0.4316843247213251,12.0
7,0.007967627643061546,0.01,0.01,0.010000044366427317,11.999999937800416,0.01000000284292354,11.999999936794392,0.01,0.010000058370685414,11.999999935801288,0.01,12.0,11.999999942355664
8,0.007315963278118492,0.01,0.01,0.01,12.0,0.04246193284163053,12.0,0.01,0.01,0.33602229980057985,0.01,0.2971050089813527,12.0
9,0.006990131095646964,0.01,0.01,0.01,12.0,0.12878065402249003,12.0,0.01,0.01,0.38895713493653705,0.01,0.3520925878253547,12.0
10,0.006827215004411201,0.01,0.01,0.01,12.0,0.18076644874929795,11.99999938988021,0.01,0.01,0.37838164351815023,0.01,0.3430176380718744,12.0
11,0.006908673050029082,0.01,0.01,0.010000118997020009,12.0,0.1562499315087727,11.99999988100298,0.01,0.01,0.4093504120433507,0.01,0.37729503770249073,11.99999988100298
12,0.006867944027220142,0.010000700410899161,0.01,0.01,12.0,0.17550839674752866,11.999999299589101,0.01,0.01,11.999999690693421,0.01,11.999999299589101,11.999999299589101
