,eta_JAP,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.013953310473241233,0.01,0.01,0.01,11.999997389125154,12.0,11.999998512188974,0.01,0.01,12.0,0.01,11.999997389125154,12.0
2,0.0070490747635597,0.010000007175641113,0.010000007175641113,0.01,11.999999992824359,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
3,0.003596956908718933,0.01,0.010000017680478363,0.01,11.999999994976779,12.0,11.999999975425123,0.01,0.010000024574878126,12.0,0.01,12.0,11.999999975425123
4,0.0018708979812985499,0.01,0.01,0.01,12.0,0.9229553755586856,12.0,0.01,0.01,0.37594916320199306,0.01,0.36362202521889975,12.0
5,0.0010078685175883583,0.01,0.01,0.01,12.0,0.8160986032238147,12.0,0.01,0.01,0.38072494755441877,0.01,0.37030074193902607,12.0
6,0.0005763537857332625,0.01,0.01,0.01,11.999999988022822,0.8695516950732679,12.0,0.01,0.010000011977178029,0.3856251719022592,0.01,0.37891548962365607,12.0
7,0.0003605964198057146,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.010000000013917973,12.0,0.01,12.0,12.0
8,0.0002527177368419406,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
9,0.00019877839536005366,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
10,0.00017180872461911018,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
11,0.0001583238892486384,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
12,0.00015158147156340255,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
13,0.0001482102627207846,0.010000035425363573,0.010000035425363573,0.01,11.999999964574636,11.999999964574636,11.999999964574636,0.01,0.01,11.999999964574636,0.01,12.0,11.999999964574636
14,0.00014652465829947562,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
15,0.00014568185608882113,0.01,0.01,0.01,11.999999854145663,11.999999854145663,11.999999854145663,0.01,0.010000145854337103,11.999999854145663,0.01,12.0,11.999999854145663
