,eta_KOR,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.008218408419499683,0.01,0.01,0.01,12.0,0.9849110028877582,12.0,0.01,0.01,0.4431705566575547,0.08025929854413363,0.41641265363290103,12.0
2,0.004181623736688925,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.10124793695522608,12.0,12.0
3,0.0021632313952835457,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.09317086298555462,12.0,12.0
4,0.0011540352245808562,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4616322003902499,0.0851194564221376,0.43236152986382786,12.0
5,0.0006494371392295114,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.48435586251221374,0.08257339714837737,0.45925357167940856,12.0
6,0.00039713809655383904,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.48332986785090387,0.0836931656256448,0.4579199726277169,12.0
7,0.00027098857521600287,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4866180220291448,0.08596104375479342,0.462397446359012,12.0
8,0.00020791381454708478,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.49197635786917737,0.08065296490875597,0.4674802649940611,12.0
9,0.00017637643421262571,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.48870248561034424,0.08512290705448006,0.46566096570661586,12.0
10,0.0001606077440453962,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4860199824479742,0.08531599349153886,0.46180762636776856,12.0
11,0.00015272339896178143,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4904470433973844,0.08485490287753411,0.46910146792409946,12.0
12,0.00014878122641997404,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4849231009661869,0.08603908153220569,0.46030183068959635,12.0
13,0.00014681014014907034,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.48382703144667377,0.08582607503759526,0.4609583055844633,12.0
14,0.00014582459701361852,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4973722604139368,0.08062510448935724,0.4736913174466974,12.0
