,eta_CAN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.006137424666168683,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4542820782064759,0.01,0.42649846357365834,12.0
2,0.003141131860023425,0.01,0.010000173297660134,0.01,12.0,11.99999982670234,11.99999982670234,0.010000173297660134,0.01,0.4529271262047858,0.01,0.4263703139485608,12.0
3,0.0016429854569507958,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4655135377867457,0.01,0.4391685456670316,12.0
4,0.0008939122554144812,0.01,0.01,0.010000001234298075,12.0,12.0,12.0,0.01,0.01,0.46738799025790784,0.01,0.44048002618768584,12.0
5,0.0005193756546463239,0.01,0.01,0.010000131353102177,11.999999868646897,12.0,11.999999868646897,0.01,0.01,0.4693024650111719,0.01,0.4427177981516572,11.999999868646897
