,eta_ZAF,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.014811833924512399,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.5491633116174562,0.08134156627275274,0.01,12.0
2,0.00819466243518085,0.01,0.01,0.01,12.0,0.9509357162876492,12.0,0.01,0.01,0.4698004577204726,0.07179058074485431,0.01,12.0
3,0.004886076690515075,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.45757072270111293,0.07634792029644452,0.24484901479675117,12.0
4,0.0065403695628479626,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.10514381321889789,0.19647899023579887,12.0
5,0.007367515999014406,0.01,0.01,0.01,12.0,0.834240192765227,12.0,0.01,0.01,0.429799676994761,0.08019209163732048,0.01,12.0
6,0.006953942780931184,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,1.0412081205658787,0.01,12.0
7,0.006747156171889573,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,2.3284878298121265,0.01,12.0
8,0.006643762867368768,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.14659938856613747,0.01,12.0
9,0.006592066215108366,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.11484742431005969,0.01,12.0
