,eta_EUR,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.007886726610086383,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
2,0.004015782831982275,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
3,0.0020803109429302206,0.01,0.01,0.01,11.99999999486527,11.99999999486527,12.0,0.01,0.01,12.0,0.01,12.0,12.0
4,0.0011125749984041936,0.01,0.01,0.010000138969238313,11.999999861030762,11.999999861030762,11.999999861030762,0.01,0.01,11.999999861030762,0.01,11.999999861030762,11.999999861030762
5,0.0006287070261411801,0.01,0.010001466757924002,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
6,0.0003867730400096734,0.01,0.01,0.01,12.0,11.999999967065941,12.0,0.01,0.01,11.999999967065941,0.01,12.0,11.999999967065941
7,0.00026580604694392005,0.01,0.01,0.010000132802298226,12.0,11.999999867197701,11.999999867197701,0.010000132802298226,0.010000132802298226,12.0,0.01,11.999999867197701,12.0
8,0.00020532255041104337,0.01,0.01,0.01,12.0,12.0,11.999999634211514,0.01,0.01,11.999999634211514,0.01,12.0,12.0
9,0.000175080802144605,0.01,0.01,0.01,12.0,11.999999988792357,12.0,0.01,0.01,12.0,0.01,12.0,11.999999998848141
10,0.00015995992801138583,0.010000008217005071,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
11,0.00015239949094477626,0.01,0.01000031988547718,0.01,12.0,11.999999680114524,11.999999680114524,0.01000031988547718,0.01000031988547718,11.999999680114524,0.01,11.999999680114524,11.999999680114524
12,0.00014861927241147148,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
13,0.00014672916314481906,0.010000233839816013,0.010000233839816013,0.01,11.999999766160183,12.0,12.0,0.01,0.010000233839816013,11.999999766160183,0.01,11.999999766160183,12.0
14,0.00014578410851149285,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.01,12.0,12.0
