,eta_RUS,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.08483841776275619,0.01,0.010000576550638816,0.010000407586257644,11.999998272017116,9.299770926515828,11.999998968771504,0.010000452976496326,0.010000861916970583,0.010000717394092863,4.1900846382682015,5.016132246290745,10.726215299388056
2,0.0431190959346078,0.010000106782368439,0.010000106782368439,0.01,12.0,7.656828424483604,12.0,0.01,0.01,0.010000106782368439,1.6342468846582365,3.406738244256464,5.254170576473331
3,0.0222594350205336,0.01,0.01,0.01,9.1069651077567,12.0,10.729254839816704,0.01,0.01,0.01,1.1274973288192913,8.804724814844278,9.403538621253963
4,0.0118296045634965,0.01000012374503375,0.01000012374503375,0.01000012374503375,11.999999876254966,4.120072149258511,11.999999876254966,0.01000012374503375,0.01000012374503375,0.01000012374503375,0.1556700701466473,1.8587422110053993,4.697711055662497
5,0.00661468933497795,0.010000361352435629,0.010000361352435629,0.01,9.53630426477288,11.999999638647564,9.785803495406906,0.01,0.010000361352435629,0.01,0.14066863209825595,5.101170688552489,7.758345463018009
6,0.004007231720718675,0.01,0.01,0.01,2.889112619183555,0.903243032935875,3.639321428228068,0.01,0.01,0.21766606041716557,0.08157529756766872,0.4037823883376372,1.6936404057969232
7,0.0027035029135890373,0.01,0.01,0.01,3.3014637509316827,1.0117241922786324,4.139122487363714,0.01,0.01,0.3781078729572192,0.07595740063091792,0.43125508392880113,1.702036376552299
8,0.003355367317153856,0.01,0.01,0.01,3.1896129307647043,0.9839037074492395,4.006915957709575,0.01,0.01,0.3109434367458421,0.08008888047824304,0.4243147320510838,1.6980727826193873
9,0.0036812995189362653,0.01,0.01,0.01,3.096676029306659,0.9607905998185702,3.895058319057274,0.01,0.01,0.2694567898106368,0.07665871968729797,0.4209384422216243,1.7008763191419918
10,0.00384426561982747,0.01000004597637728,0.01000004597637728,0.01000004597637728,3.0679363204463685,0.9530095105997088,3.860426989943865,0.01000000192216535,0.01,0.24542510947944443,0.07596780032871736,0.41966701247105404,1.7027974357445608
11,0.003925748670273073,0.01,0.01,0.01,3.0314471278072133,0.9427498842486849,3.814812195853879,0.010000038859031021,0.01,0.2318149136860456,0.07597396756136544,0.41670652282140186,1.7029991657294707
12,0.003966490195495874,0.010000012551714862,0.010000012551714862,0.010000012551714862,2.8936343294296294,0.9055104612592995,3.644877207589751,0.010000012551714862,0.010000012274962028,0.22486708329734076,0.08325143842014883,0.40456606001053436,1.692725234464075
13,0.003946119432884474,0.01,0.01,0.01,2.841981614293407,0.8907786379199977,3.5796201352772186,0.01,0.01,0.22818871112092334,0.08500185844651915,0.39989474248695833,1.688485723489225
