,eta_USA,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.014023957485911018,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.48570142008161926,12.0,12.0
2,0.007012847777278778,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6446476494996856,0.5191672712913731,0.8399952133250543,12.0
3,0.003507292922962658,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.8601994832573855,1.2831011793535754,12.0,12.0
4,0.001754515495804598,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.7050836178371485,1.0299787038487895,12.0,12.0
5,0.000878126782225568,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6942027142517889,12.0,0.9785668550024298,12.0
6,0.000439932425436053,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,5.857243413656974,7.7409787473787635,12.0,12.0
7,0.0002208352470412955,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.4856520033049225,12.0,0.7193619686969798,12.0
8,0.00011128665784391674,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,2.1974272836870297,2.821984310972355,12.0,12.0
9,5.651236324522737e-05,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.4325278557084433,1.7111556733576403,12.0,12.0
10,2.9125215945882686e-05,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,3.4061728821541535,4.436396511554658,12.0,12.0
11,1.5431642296210344e-05,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.49577727067426797,12.0,0.8880402347980689,12.0
12,8.584855471374172e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.5454879160984214,1.755527096063824,12.0,12.0
13,5.161462058956086e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.086235066696939,1.8854141513616316,12.0,12.0
14,3.449765352747043e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.4016963238977476,1.7779996846584818,12.0,12.0
15,2.5939169996425213e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6179965436144601,12.0,0.9876829236532323,12.0
16,2.1659928230902607e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.8248329238286611,2.334188970652733,12.0,12.0
17,1.9520307348141304e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.1625911755976248,1.4434984932720152,12.0,12.0
18,1.845049690676065e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,1.0227083461870534,1.1786801443483435,12.0,12.0
19,1.7915591686070326e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6918081486926535,0.964810629940907,12.0,12.0
20,1.764813907572516e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.5534330564935314,12.0,0.8548986377848419,12.0
21,1.7514412770552579e-06,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,3.2641414925504217,4.246924988820385,12.0,12.0
