,eta_MEX,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.0006179991194092333,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.5107698807631533,0.08629072745773701,0.48503780827139015,12.0
2,0.0003814190866437,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.5835620740986047,0.09092334122171003,0.5701243547615944,12.0
3,0.0002631290702609333,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6017427147950462,0.08935420619814845,0.5879149544685534,12.0
4,0.00020398406206955,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6204563367772266,0.08435299126440066,0.6049407246664767,12.0
5,0.00017441155797385833,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6264778453197112,0.0865440615064073,0.6149067824017451,12.0
6,0.00015962530592601249,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6215880759676892,0.0868397601491025,0.6061403279628687,12.0
7,0.00015223217990208957,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6049104354982313,0.08922100957400944,0.5867175895888659,12.0
8,0.0001485356168901281,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6233364148541597,0.0832647235254167,0.6055645970426407,12.0
9,0.00014668733538414737,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.6175540142476053,0.08782943609719979,0.6053754334128764,12.0
10,0.00014576319463115704,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,0.20352156287456932,12.0,12.0
