delt,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,AUS,MEX,ROW
0.0999999999999997,1.0493503711567533,1.002533914510842,1.0121005495917694,0.977013843596844,0.9911759799385971,1.0104529043692188,1.0239299899624459,1.0055454261475065,1.00761682007461,1.011181215884402,1.0298669415548554,1.0849984946315627
0.104275388885376,1.0486884246961663,1.0027846094211115,1.011881132833929,0.9780216024984564,0.9917668443016173,1.011321567775244,1.0234738503790084,1.0051837939948862,1.0080918332583102,1.0107612106924162,1.030254375683517,1.0846844846229207
0.10873356727196486,1.0480110089606096,1.0030393000005604,1.0116618401522914,0.9790328857654674,0.9923615134621491,1.0121766890193804,1.0230119960755861,1.004822623401086,1.0085650539977737,1.010338591078842,1.030629006327965,1.084299053124795
0.11338235012178348,1.047319285409337,1.0032977763199422,1.0114427434455593,0.9800465075434434,0.9929591993181565,1.0130138121789514,1.0225445701787972,1.0044621179918445,1.0090352603277264,1.0099133085189322,1.0309866845670461,1.0838426981580727
0.11822988651686957,1.0466119142823949,1.0035596299885914,1.0112238951064718,0.9810613051062256,0.9935586232471278,1.0138333907053503,1.022071951738412,1.0041030865992278,1.0095003930340736,1.009486039088075,1.0313254467921218,1.0833198324547741
0.12328467394420607,1.0458893201803876,1.003823788120625,1.0110055703648573,0.9820753330833771,0.9941588096318275,1.0146311067556348,1.0215943288802514,1.0037458255485676,1.0099601905449616,1.0090569721880713,1.031646067738732,1.082725440924864
0.1285555731913895,1.0451517017869998,1.00408952207076,1.0107874948986502,0.9830874808717728,0.9947589349976425,1.0154076390974955,1.0211117205685052,1.003390686312475,1.0104127417302373,1.0086266559795578,1.0319441708478534,1.0820629390301986
0.13405182387914613,1.0443982893811028,1.0043559495651453,1.0105696307439318,0.9840953058819912,0.9953576476609207,1.016157012827442,1.0206243877528547,1.0030382426789897,1.0108566971463748,1.0081954400444575,1.0322196996817221,1.0813318807981582
0.13978306065791987,1.0436301715289225,1.004623168417567,1.0103528061994271,0.9850982006041895,0.9959538342609133,1.016879990442339,1.0201329999605921,1.002689289100357,1.0112899713210708,1.0077640485886061,1.0324698573330817,1.0805344526657286
0.1457593300969288,1.0428464360442646,1.0048885203002795,1.0101359556143708,0.9860946844342457,0.9965460222970403,1.0175719822190925,1.0196372805871616,1.0023440551524498,1.011712712701972,1.0073328832034596,1.0326920522491538,1.0796696623173534
0.15199110829529336,1.042047650407447,1.0051520966303287,1.0099200867198974,0.9870824775385574,0.997133180833188,1.0182339205404827,1.0191380427249646,1.0020034246576344,1.0121223680975489,1.006902750832825,1.032885104837951,1.0787397950109163
0.1584893192461109,1.041234061585269,1.0054134978676215,1.0097043973074167,0.9880592460614575,0.9977137081646,1.0188612967892505,1.0186354491024043,1.0016677427879037,1.0125170358379252,1.006473874075627,1.033047243388345,1.0777453246581068
0.16526535398566872,1.040405499263857,1.0056695016238195,1.0094897101452878,0.9890244076684429,0.9982865522182109,1.0194527158922475,1.0181297124246165,1.001337681897075,1.0128959441975616,1.006047157002643,1.0331777586413948,1.0766876955925073
0.1723310905613506,1.03956226361965,1.0059221771807498,1.009275452992982,0.9899761251912743,0.9988495913293336,1.0200063229301528,1.0176212997761722,1.0010139664665696,1.0132568933884734,1.0056233826921397,1.0332742656038802,1.0755683912939757
0.17969891485325887,1.0387052195155948,1.0061689462986871,1.0090615664357159,0.9909106043086428,0.9994015941547708,1.020518085774278,1.0171101036391705,1.0006967447999933,1.013598162734202,1.0052026986194404,1.033330310793185,1.0743867823683388
0.18738174228603707,1.037834423174682,1.0064083664663925,1.008847558053071,0.9918266258808885,0.9999417207948237,1.020989740764399,1.0165967620535492,1.0003865986504603,1.0139177376653066,1.00478548145478,1.0333529515011042,1.073145612463625
0.19539304046896022,1.0369510687453507,1.0066405160932463,1.0086330247091841,0.9927218627131033,1.0004656535255918,1.0214119330014186,1.0160801532900725,1.00008306533742,1.0142134287085394,1.0043719232567532,1.0333311082789063,1.0718447859820255
0.2037468528039701,1.0360549162885293,1.0068634027766705,1.0084178810851572,0.9935961676171204,1.0009753438956388,1.0217886637549607,1.0155615512526042,0.9997877308817706,1.01448483176137,1.0039634888497886,1.0332677974456288,1.0704867337513788
0.21245782310305583,1.0351476645042548,1.0070766008896828,1.0082008767054311,0.9944428610825187,1.0014649885949414,1.0221157170883464,1.0150405474261077,0.9994991323899124,1.014725934215682,1.0035588523928196,1.033158729655242,1.0690711155134802
0.22154122125811823,1.0342278824324722,1.0072786980588082,1.007981789363165,0.9952625613090549,1.0019342831608382,1.022388203845827,1.0145154647305905,0.9992178619959041,1.0149383571036816,1.0031589086204533,1.0330024881008648,1.0675992178215765
0.23101297000831483,1.0332974734786158,1.0074680494611727,1.0077612798124334,0.996053470235192,1.002382948007101,1.0226118812074256,1.013989800937025,0.998945980507712,1.015120219171234,1.0027653000657555,1.0327992409043394,1.0660745072574533
0.24088967285182977,1.0323549499058708,1.0076430893884285,1.0075414971353733,0.996816925235529,1.0028100049709439,1.022779687860837,1.0134648925810998,0.9986860352297545,1.0152722885393775,1.0023814197023215,1.032550253068286,1.0645007121978338
0.2511886431509573,1.031401845800257,1.0078019652440033,1.0073221975472217,0.9975498106199404,1.0032152869365696,1.0228951095712318,1.0129423021662516,0.998438949613005,1.0153915871477583,1.0020077638957081,1.0322546367762528,1.0628803108680718
0.26192793448156143,1.030438304333689,1.007943170686934,1.0071041275105914,0.9982487123096773,1.0035970866206902,1.0229542033816885,1.0124224056779356,0.9982052677299651,1.0154795221328687,1.0016452795545294,1.03190791413187,1.0612151686393185
