origin_code,destination_code,patent flows
1.0,1.0,193865.1072653577
1.0,2.0,14753.674448417814
1.0,3.0,17453.89330816396
1.0,4.0,19766.374809862198
1.0,5.0,6343.237831627016
1.0,6.0,9116.744884099067
1.0,7.0,14683.565232742252
1.0,8.0,9656.469252106463
1.0,9.0,3299.706383030496
1.0,10.0,9271.398390183991
1.0,11.0,5526.719110898976
1.0,12.0,0.1532625193951846
1.0,13.0,709.3992821618849
2.0,1.0,45528.90880652997
2.0,2.0,38474.054893379114
2.0,3.0,18825.27635368196
2.0,4.0,23441.183067348753
2.0,5.0,8176.14949775811
2.0,6.0,11163.061141435881
2.0,7.0,10445.218938784847
2.0,8.0,9191.08417944822
2.0,9.0,7113.932789068538
2.0,10.0,7082.351740589504
2.0,11.0,4283.073087793299
2.0,12.0,0.1532625193951846
2.0,13.0,676.2695240385438
3.0,1.0,50719.99969221827
3.0,2.0,9159.162052540038
3.0,3.0,321871.77106591547
3.0,4.0,27088.13332071624
3.0,5.0,1529.344519530079
3.0,6.0,2309.8421893485543
3.0,7.0,1980.5076765052606
3.0,8.0,14362.396945721885
3.0,9.0,1378.6803445946505
3.0,10.0,1709.4226513927952
3.0,11.0,580.6560442369488
3.0,12.0,0.1532625193951846
3.0,13.0,580.8076869107857
4.0,1.0,5018.917535674147
4.0,2.0,1023.7923766175103
4.0,3.0,974.0678908044825
4.0,4.0,139284.84842836345
4.0,5.0,239.61358620198072
4.0,6.0,395.54429571576355
4.0,7.0,293.2010651731355
4.0,8.0,612.7472628344495
4.0,9.0,254.47310030465846
4.0,10.0,282.3019553201943
4.0,11.0,84.37383720565116
4.0,12.0,0.1532625193951846
4.0,13.0,42.1441112780689
5.0,1.0,314.45127524478346
5.0,2.0,103.74306924692723
5.0,3.0,75.49433928041601
5.0,4.0,101.03459001074835
5.0,5.0,3914.995958073654
5.0,6.0,55.46782059099073
5.0,7.0,68.70850269501355
5.0,8.0,38.99091911196932
5.0,9.0,21.763043310720505
5.0,10.0,44.14260920160268
5.0,11.0,65.25254519052204
5.0,12.0,0.1532625193951846
5.0,13.0,8.222407928802513
6.0,1.0,1397.027271921542
6.0,2.0,250.15002282432815
6.0,3.0,204.44706522001675
6.0,4.0,246.96910303422433
6.0,5.0,127.0625275427813
6.0,6.0,7072.9361960669185
6.0,7.0,160.4458976128799
6.0,8.0,142.46662697532642
6.0,9.0,61.339018830557116
6.0,10.0,154.08820159773887
6.0,11.0,74.73809097476074
6.0,12.0,0.1532625193951846
6.0,13.0,13.123270355858027
7.0,1.0,5286.036764359712
7.0,2.0,940.699127377526
7.0,3.0,673.3548032414936
7.0,4.0,872.4531748232333
7.0,5.0,290.2904881963987
7.0,6.0,468.53754514326573
7.0,7.0,3978.0884655344275
7.0,8.0,418.39311170571
7.0,9.0,160.7812715771494
7.0,10.0,524.3193357416244
7.0,11.0,261.2115446053729
7.0,12.0,0.1532625193951846
7.0,13.0,27.823281049170763
8.0,1.0,14643.4955185461
8.0,2.0,2066.3855457632653
8.0,3.0,4603.555392863435
8.0,4.0,6623.423714406264
8.0,5.0,274.3154489491458
8.0,6.0,780.098315216496
8.0,7.0,359.33202531927117
8.0,8.0,103710.42961275931
8.0,9.0,395.04780928151746
8.0,10.0,335.4151087079008
8.0,11.0,201.3559593044205
8.0,12.0,0.1532625193951846
8.0,13.0,83.56762212811479
9.0,1.0,330.4860370402812
9.0,2.0,102.78069673049053
9.0,3.0,59.907071598814014
9.0,4.0,112.00183024595482
9.0,5.0,27.209085837509562
9.0,6.0,56.06694897242511
9.0,7.0,54.13177158926468
9.0,8.0,47.52951592339371
9.0,9.0,26052.759163260198
9.0,10.0,26.34162296016213
9.0,11.0,15.097472040558182
9.0,12.0,0.1532625193951846
9.0,13.0,7.568334453824055
10.0,1.0,1527.6844395456083
10.0,2.0,422.7546116916449
10.0,3.0,351.3898167627829
10.0,4.0,487.4337834610233
10.0,5.0,142.71298423730187
10.0,6.0,389.14181562966957
10.0,7.0,466.8709167466763
10.0,8.0,163.6957731493404
10.0,9.0,82.81660928011529
10.0,10.0,5829.885189149408
10.0,11.0,96.67927772233827
10.0,12.0,0.1532625193951846
10.0,13.0,24.68872946930324
11.0,1.0,157.4195193631064
11.0,2.0,36.25926016516511
11.0,3.0,24.217257631909927
11.0,4.0,34.0607349851667
11.0,5.0,49.425006218828635
11.0,6.0,17.917048819311894
11.0,7.0,48.609775547807146
11.0,8.0,18.163582429972692
11.0,9.0,13.907610815870408
11.0,10.0,13.424775243817257
11.0,11.0,556.3862085334872
11.0,12.0,0.1532625193951846
11.0,13.0,2.8733565270256136
12.0,1.0,10.346052707807287
12.0,2.0,2.3756064483925536
12.0,3.0,2.4226784719179264
12.0,4.0,6.557721437494948
12.0,5.0,0.9035811229984162
12.0,6.0,0.0
12.0,7.0,1.1622959848479528
12.0,8.0,1.6154428583742633
12.0,9.0,0.22038617467188892
12.0,10.0,3.214461264528712
12.0,11.0,0.7217051286224218
12.0,12.0,8.666666666666666
12.0,13.0,0.21799431938371364
13.0,1.0,18914.24255817386
13.0,2.0,1730.3900225863283
13.0,3.0,2057.8544715146054
13.0,4.0,3766.510569790265
13.0,5.0,488.8767141414094
13.0,6.0,715.7553522003846
13.0,7.0,928.4611248288992
13.0,8.0,1036.6692901272713
13.0,9.0,762.2391371375015
13.0,10.0,1053.6166953303075
13.0,11.0,291.9834569133704
13.0,12.0,0.1532625193951846
13.0,13.0,1437.399857601402
