country_code,country,fee
1,USA,13431.91749212812
2,EUR,25271.065926621446
3,JAP,24093.767446647897
4,CHN,14816.951260932288
5,BRA,22297.39201907906
6,IND,12075.984376047261
7,ROW,98525.08612465994
