country_code,country,fee
1,USA,17587.896771831496
2,EUR,33090.204663038494
3,JAP,31548.63741118902
4,CHN,19401.474838068487
5,BRA,29196.444166847577
6,IND,15812.423412267291
7,ROW,129009.80408879647
