country_code,country,fee
1,USA,18351.289375952823
2,EUR,34526.46607827957
3,JAP,32917.9879812003
4,CHN,20243.58476130549
5,BRA,30463.699133871793
6,IND,16498.75261028104
7,ROW,134609.40087846268
