,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,SINNOVPATEU_target,DOMPATINUS_target,DOMPATINEU_target,TE_target,kappa,gamma,rho,zeta
0,-50,0.0445020342874934,0.04111841982606096,0.03864112476465259,0.030931411718586252,0.04606833555550677,0.016639917399066454,0.044602502725349054,0.06967580485106181,0.051460581020393074,0.039717964358831945,0.04123267963898956,0.019953988774741943,0.046429698385310136,
1,-40,0.043259887472421085,0.04107257951151518,0.03923504361785558,0.031241969881654202,0.04508213126182116,0.021926351140614486,0.04343755633600797,0.0597029836028107,0.047179327400595154,0.036136049574150765,0.04123267928209134,0.0223131435587697,0.04534780206052996,
2,-30,0.042511688087242525,0.041051329577705346,0.039800484878792494,0.033370368081193216,0.044104614055862766,0.027095520892320774,0.04266059965316091,0.05278584672209277,0.04436953704365799,0.0369673231157863,0.041232679094903,0.02688294554711132,0.04428762638876112,
3,-20,0.04204637377071541,0.04106759278631055,0.04031553767841071,0.03650882447716033,0.04313758930278063,0.03205388461072934,0.04207913657066611,0.04773122837846619,0.042612388800170445,0.03850621117250583,0.04123268293654457,0.03667888711228217,0.043249423550163126,
4,-10,0.04163814727153003,0.04112962473561195,0.04078958666550137,0.03907820144321444,0.042179467397362815,0.036768590297288115,0.041616864935383455,0.04398425802323026,0.04163096596951482,0.04000974823140777,0.04123267899936269,0.03917436195112659,0.04223074805478879,0.041303799085860064
5,0,0.04123267887426138,0.04123267885938367,0.04123267885938367,0.041232678859862766,0.04123267885938367,0.041232678862520716,0.04123267885938367,0.04123267885938367,0.04123267885938367,0.04123267885938367,0.04123267885938367,0.04123267885938367,0.04123267886819428,
6,10,0.040804241441470636,0.04137319646467734,0.041652789158633866,0.043081395461167175,0.0402986455504681,0.04545013734966469,0.04090315977070887,0.039251235608222086,0.04127401698890157,0.042193553278213315,0.04123268511088198,0.0429624883434007,0.04025549218500912,
7,20,0.04031387663856898,0.04154567623826748,0.042056534985886136,0.044685095058159444,0.039377393049684885,0.049428578856767144,0.04061424926864674,0.03787497252117156,0.04164784806907962,0.042998224330775964,0.041232678910935724,0.04442939233673872,0.039298350735909565,
8,30,0.03355042952939167,0.0417410281895255,0.04244646081962251,0.04609775470703466,0.03846831375300107,0.05317471828632819,0.0403570453107124,0.0369809820723016,0.04232264445798153,0.043678261352144455,0.04123267909606561,0.04568809865010705,0.038360004018903576,
9,40,0.031035772775402086,0.04195146870569054,0.042824419242377294,0.047352772249502954,0.03756985108587514,0.05668918743791135,0.0401317122154634,0.03647603148327257,0.043185819599448685,0.04425798600945964,0.04123267921826461,0.04677719125875726,0.037438729438426736,
10,50,0.02897457947202783,0.04217084454135732,0.04320141261210512,0.048476910672663555,0.03667888798802213,0.05994913255832697,0.03995728432122085,0.036288265001952216,0.04383119508607286,0.0447570484704133,0.041232681571049,0.0477268510172782,0.03653196840742083,
11,-100,,,,,,,,,,,,,,0.044710885935854504
12,-55,,,,,,,,,,,,,,0.04330096508845415
13,35,,,,,,,,,,,,,,0.0419996022961758
14,80,,,,,,,,,,,,,,0.044954823216228165
15,124,,,,,,,,,,,,,,0.04888439741034891
16,169,,,,,,,,,,,,,,0.052044542772512366
17,214,,,,,,,,,,,,,,0.0547480421962853
18,259,,,,,,,,,,,,,,0.057037484918622976
19,304,,,,,,,,,,,,,,0.05897747572059915
20,349,,,,,,,,,,,,,,0.06061762598464121
21,394,,,,,,,,,,,,,,0.06201658078812949
22,439,,,,,,,,,,,,,,0.06321020637237205
23,484,,,,,,,,,,,,,,0.06422200423241832
24,529,,,,,,,,,,,,,,0.06505162877435652
