,Change,KM_target,UUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,SINNOVPATEU_target,DOMPATINUS_target,DOMPATINEU_target,TE_target,kappa,gamma,rho,zeta
0,-50,3.4609691423854008,2.054650570480023,1.3284087115066676,1.3234635777242316,1.9483087475237106,1.8035800100099693,1.549146431666759,1.7993628767457146,1.5428903958693239,0.37740173073462546,1.7534920266667302,0.00015150634088166768,1.944419802655034,
1,-40,2.9925457090136063,1.9784406621695612,1.5330787551507354,1.309160158578834,1.916909019017923,1.8054713772971562,1.618362481286171,1.8042463029726736,1.5808864617026084,1.0583435680509123,1.7535257022954587,6.90579624217625e-05,1.9126446834195026,
2,-30,2.666189302694139,1.9056084474394326,1.6271284775636123,1.2400398263423102,1.8833094443097902,1.801368263158444,1.6500122786790452,1.8023158178435144,1.6226735776334504,1.4265853488063949,1.7534913891142259,7.197062070727708e-05,1.8791352575962197,
3,-20,2.3453542660740605,1.844036481288005,1.677110580790578,1.4565299967749048,1.8373566007394508,1.7917442618734263,1.6880208947983995,1.783025053722231,1.6641919122962512,1.582005770350649,1.7534278639207364,1.473470620119072,1.8339386737653771,
4,-10,2.019815750854061,1.7983469002210128,1.718025473248687,1.6396155819015517,1.7950900852392904,1.776064261068506,1.7221034296254039,1.7673646662227314,1.7069176392831258,1.6886040619105562,1.7535401909459425,1.64824462153881,1.7929881612339127,1.705400513208384
5,0,1.7535070770401222,1.7535293962411143,1.7535293962411143,1.7535259112930976,1.7535293962411143,1.753527720450112,1.7535293962411143,1.7535293962411143,1.7535293962411143,1.7535293962411143,1.7535293962411143,1.7535293962411143,1.7535091490070613,
6,10,1.520708652907653,1.7348467312925324,1.7877022284846555,1.838875776208043,1.7087011288388556,1.7226356356926054,1.7824953161208352,1.7407796211353355,1.8236349925321325,1.8105835491282711,1.7534554801994384,1.8306288416098853,1.71153739357975,
7,20,1.2981716357020492,1.7259357594762321,1.8155402001967889,1.9102519131329854,1.6597674190830305,1.6810161312390435,1.809625633244623,1.728912522849124,1.89057321565006,1.8436783936442889,1.7535777780388124,1.8947851254532386,1.666517294358982,
8,30,6.78366134482708e-05,1.7236016856549163,1.8486119821708116,1.958265085519608,1.6057636400576718,1.6239818633311858,1.8349185605293827,1.7178409676722086,1.9278329962469294,1.8714479417263776,1.753522833229174,1.936458630136732,1.6178667444549024,
9,40,6.450204625475484e-05,1.7262490874621774,1.8794335856509994,1.996623142015762,1.5449080015754115,1.5412862463026968,1.8546273936355646,1.7075943269746963,1.9383880685377903,1.895783963397351,1.7535299518654497,1.9693892461892932,1.5641845396669156,
10,50,6.166004420647479e-05,1.7325364510293937,1.9059305696760256,2.0275587429756357,1.4735356312610606,1.3823225689217997,1.858077343384348,1.6979967638217837,2.064654825719258,1.9199790641388805,1.7534782467345906,1.995896599754823,1.503854109313078,
11,-100,,,,,,,,,,,,,,0.000128262298287395
12,-55,,,,,,,,,,,,,,1.4417496126747629
13,35,,,,,,,,,,,,,,1.901362611244847
14,80,,,,,,,,,,,,,,2.004185644254075
15,124,,,,,,,,,,,,,,2.01683919428871
16,169,,,,,,,,,,,,,,2.123998742885721
17,214,,,,,,,,,,,,,,2.153739310308807
18,259,,,,,,,,,,,,,,2.1711697446270724
19,304,,,,,,,,,,,,,,2.1899892750610945
20,349,,,,,,,,,,,,,,2.2052335292270744
21,394,,,,,,,,,,,,,,2.216792818182497
22,439,,,,,,,,,,,,,,2.2257112523993094
23,484,,,,,,,,,,,,,,2.2322604298211943
24,529,,,,,,,,,,,,,,2.2358835142431044
