config,country,obj,delta_patent_1992,delta_patent_2015,ratio,nu_patent
base,USA,1.4480512980687779,0.10143914603825338,0.079647795674911,1.2735964024953756,0.0538697632095194
base,EUR,1.4480512980687779,0.10241273236199029,0.0864941363574733,1.1840424874436195,0.0538697632095194
base,JAP,1.4480512980687779,0.09383716379792599,0.0969133068231865,0.9682588168116812,0.0538697632095194
base,CHN,1.4480512980687779,0.20151502750857367,0.1360375906499101,1.4813187042335112,0.0538697632095194
base,BRA,1.4480512980687779,0.1750980178368318,0.1556079682748278,1.1252509738291907,0.0538697632095194
base,IND,1.4480512980687779,0.42570565595933724,0.2222136979399506,1.9157489385482294,0.0538697632095194
base,CAN,1.4480512980687779,0.03840086451514486,0.0653347236353893,0.5877558268930152,0.0538697632095194
base,KOR,1.4480512980687779,0.07021591732688104,0.0594081554181846,1.1819238761516608,0.0538697632095194
base,RUS,1.4480512980687779,0.387371912455163,0.2100601812932497,1.8440996769129765,0.0538697632095194
base,MEX,1.4480512980687779,0.19476814711111382,0.1891227609243598,1.0298503795056793,0.0538697632095194
base,ZAF,1.4480512980687779,0.11468934064251524,0.1553646614473172,0.7381945133089701,0.0538697632095194
base,ROW,1.4480512980687779,1.1761057534114199,1.404619977304513,0.8373124207363081,0.0538697632095194
fefo,USA,1.4467168677600002,0.13357503328010895,0.079647795674911,1.6770713131259325,0.0538697632095194
fefo,EUR,1.4467168677600002,0.12540826970302837,0.0864941363574733,1.4499048719872303,0.0538697632095194
fefo,JAP,1.4467168677600002,0.11464741640666827,0.0969133068231865,1.1829894177054217,0.0538697632095194
fefo,CHN,1.4467168677600002,0.23448105780047146,0.1360375906499101,1.723649005251082,0.0538697632095194
fefo,BRA,1.4467168677600002,0.2050293455551226,0.1556079682748278,1.3176018415265789,0.0538697632095194
fefo,IND,1.4467168677600002,0.4835697365314485,0.2222136979399506,2.1761472898134517,0.0538697632095194
fefo,CAN,1.4467168677600002,0.051986411407908384,0.0653347236353893,0.7956934462297067,0.0538697632095194
fefo,KOR,1.4467168677600002,0.08836371370729831,0.0594081554181846,1.4874003928465775,0.0538697632095194
fefo,RUS,1.4467168677600002,0.4420031421227883,0.2100601812932497,2.1041738581846694,0.0538697632095194
fefo,MEX,1.4467168677600002,0.2274829684944915,0.1891227609243598,1.2028323158071597,0.0538697632095194
fefo,ZAF,1.4467168677600002,0.13812035949909435,0.1553646614473172,0.8890075658931601,0.0538697632095194
fefo,ROW,1.4467168677600002,1.3212954403284827,1.404619977304513,0.9406782344531854,0.0538697632095194
nu,USA,1.4447201261726224,0.10200797379786597,0.079647795674911,1.280738191603191,0.054933113147966235
nu,EUR,1.4447201261726224,0.1006307181768565,0.0864941363574733,1.1634397707719497,0.054933113147966235
nu,JAP,1.4447201261726224,0.09200378875940306,0.0969133068231865,0.9493411356529129,0.054933113147966235
nu,CHN,1.4447201261726224,0.19937504105028284,0.1360375906499101,1.4655878577221375,0.054933113147966235
nu,BRA,1.4447201261726224,0.17303347577172534,0.1556079682748278,1.111983388062245,0.054933113147966235
nu,IND,1.4447201261726224,0.42146866099477254,0.2222136979399506,1.8966817298034757,0.054933113147966235
nu,CAN,1.4447201261726224,0.03666857686020445,0.0653347236353893,0.561241784152011,0.054933113147966235
nu,KOR,1.4447201261726224,0.06877603440563271,0.0594081554181846,1.1576867506069821,0.054933113147966235
nu,RUS,1.4447201261726224,0.383105131088988,0.2100601812932497,1.8237874914244834,0.054933113147966235
nu,MEX,1.4447201261726224,0.19267468632792945,0.1891227609243598,1.0187810572678253,0.054933113147966235
nu,ZAF,1.4447201261726224,0.11278583553260808,0.1553646614473172,0.7259426595593798,0.054933113147966235
nu,ROW,1.4447201261726224,1.1699974811088603,1.404619977304513,0.8329637197344318,0.054933113147966235
all,USA,1.4674688160931157,0.15003443780444697,0.079647795674911,1.8837236678441778,0.05182874231945144
all,EUR,1.4674688160931157,0.14179319264239812,0.0864941363574733,1.6393387877344456,0.05182874231945144
all,JAP,1.4674688160931157,0.13026511638116337,0.0969133068231865,1.3441406619095724,0.05182874231945144
all,CHN,1.4674688160931157,0.25795101231877404,0.1360375906499101,1.89617451387099,0.05182874231945144
all,BRA,1.4674688160931157,0.2267122317689421,0.1556079682748278,1.4569448742402002,0.05182874231945144
all,IND,1.4674688160931157,0.5241564303596591,0.2222136979399506,2.3587944182509544,0.05182874231945144
all,CAN,1.4674688160931157,0.06341835469455505,0.0653347236353893,0.970668446513544,0.05182874231945144
all,KOR,1.4674688160931157,0.10234837822127002,0.0594081554181846,1.7228001357864342,0.05182874231945144
all,RUS,1.4674688160931157,0.47878061793260984,0.2100601812932497,2.279254521180381,0.05182874231945144
all,MEX,1.4674688160931157,0.25055392451950553,0.1891227609243598,1.3248216306429415,0.05182874231945144
all,ZAF,1.4674688160931157,0.1554749623072514,0.1553646614473172,1.0007099481883892,0.05182874231945144
all,ROW,1.4674688160931157,1.4256292131339128,1.404619977304513,1.014957238376829,0.05182874231945144
