,eta_CHN,delta_opti_USA,delta_opti_EUR,delta_opti_JAP,delta_opti_CHN,delta_opti_BRA,delta_opti_IND,delta_opti_CAN,delta_opti_KOR,delta_opti_RUS,delta_opti_MEX,delta_opti_ZAF,delta_opti_ROW
1,0.08590561341881114,0.010000600507664437,0.010000600187619954,0.010000600471426533,0.01000059982424115,6.502135476131197,11.99999939854274,0.010000600890126513,0.010000601663820432,5.012311354511974,4.4484085422144455,3.9913508250585914,11.999999398089866
2,0.04471988941869022,0.010000780661995301,0.01,0.01,0.010000780661995301,8.424863263792782,12.0,0.01,0.01,5.324699602235798,4.236073003553924,4.258505953358315,10.235432967171997
3,0.02412702741862976,0.010000760815971644,0.010000492356779429,0.010000470007072954,0.010000506627774793,11.99999952141486,11.232551203064245,0.01,0.01000044747497238,7.316936928925434,4.641043683916563,6.317739612204646,9.883144069501443
4,0.01383059641859953,0.01,0.01,0.01,0.01,12.0,12.0,0.01,0.01,5.672489149902538,2.315431623156712,5.417728125359576,6.93465595672602
5,0.008682380918584415,0.010000099394346654,0.010000099394346654,0.010000099394346654,0.01,11.999999900605653,10.189496991586822,0.01,0.01,6.318168069045703,1.0503235291518267,6.44645143982751,7.498975889456356
6,0.006108273168576857,0.01,0.010000161676564189,0.010000161676564189,12.0,8.41357744576527,11.999999838323436,0.010000153875750106,0.01,2.5921532704968895,0.08177233228662856,2.7607061489676963,4.388823498123116
7,0.007395327043580636,0.01,0.01,0.01,2.5329446029665266,1.6616020114402725,8.774883255284594,0.01,0.010000758253162908,0.4902376373478546,0.07231031215309014,0.5001990873001814,1.695087531663923
8,0.008038853981082526,0.01,0.01,0.01,0.01,12.0,9.20168968115123,0.01,0.01,4.525324212965336,0.5510631839493246,4.6545040733687015,5.752321052480281
9,0.007717090512331581,0.010000240384519165,0.010000240384518931,0.010000240384519403,1.6428907741220737,1.836433790541117,9.357957155111947,0.010000240384518952,0.010000240384519393,0.5110323674299757,0.07520396668417223,0.5306417615148069,1.7011479629491868
10,0.007877972246707055,0.01,0.01,0.01,0.34513498661126907,0.5915800190413413,2.465886952583779,0.01,0.01,0.297867431750381,0.17508421971044807,0.25936029673709865,1.5563350883312985
11,0.00795841311389479,0.01,0.01,0.01,0.01,9.336415458521182,12.0,0.01,0.01,3.5809234555426137,0.4487184146167326,3.6711865617441366,4.799439219695795
12,0.007918192680300922,0.01,0.01,0.01,0.01,12.0,6.820233235637806,0.01,0.01,10.757674017771784,0.9457494756773879,11.164939341251767,12.0
