moments,weights
GPDIFF,1
GROWTH,1
KM,5
OUT,4
RD_US,5
RD_RUS,3
RP,3
SRDUS,1
SPFLOWDOM_US,7
SPFLOWDOM_RUS,1
SRGDP_US,1
SRGDP_RUS,1
JUPCOST,1
SINNOVPATUS,1
TO,3
