country_code,country,fee
1,USA,12796.233732543094
2,EUR,26415.13338123128
3,JAP,22953.497140339925
4,CHN,14115.71889491623
5,BRA,21242.137622531725
6,IND,11504.471994933056
7,ROW,93862.25245270901
