,welfare
USA,0.7631751042061944
EUR,0.7952185676761732
JAP,0.7348525349022932
CHN,0.7749946974248291
BRA,0.7264831469944427
IND,0.6945434255465185
CAN,0.6774723663717016
KOR,0.7498589504583513
RUS,0.7845861270407432
MEX,0.6751941346847996
ZAF,0.6973902238967489
ROW,0.6948948237278382
