,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,delta
0,0.04676459756554254,0.026691779619274335,0.0165274623909111,0.004057996548504278,7.290714266656061e-05,0.00019681407179516315,0.0007039630973739921,0.0020925234468289968,4.855588945039938e-05,2.0711667742358184e-05,1.5966853016781697e-05,0.003674210685054032,0.01
1,0.04614451964557516,0.026246167240914484,0.016239002717307,0.004002610420530059,7.199687227581493e-05,0.00019443473246169796,0.0006957228666895841,0.002065620211615839,4.7945415905272945e-05,2.0464230943478065e-05,1.579949220452431e-05,0.0036250341715692827,0.010232929922807542
2,0.04552647268661588,0.02580551639187908,0.01595477461830935,0.003947658549126174,7.108759578174618e-05,0.00019205282871212218,0.0006875055414730452,0.002038907971420345,4.7335578497758005e-05,2.021694476888651e-05,1.563210429203545e-05,0.0035762072000712036,0.010471285480508996
3,0.04491069224649224,0.02536989232923975,0.015674737309003588,0.0038931364604329454,7.017963556739623e-05,0.0001896690938533627,0.0006793130521253422,0.002012387568717742,4.6726597055908165e-05,1.9969898647672076e-05,1.5464748017471524e-05,0.0035277271867932333,0.010715193052376065
4,0.04429740969924176,0.024939352758371336,0.015396178381257744,0.0038390403176619963,6.927331558600686e-05,0.00018728427273637956,0.0006711473673908958,0.0019860600977023224,4.611869236361347e-05,1.9723182442697933e-05,1.5297482535044446e-05,0.0034795920934603372,0.01096478196143185
5,0.04368685178936223,0.024513948031289402,0.015109850919729152,0.0037853669014289086,6.836896089900054e-05,0.00018489912082143367,0.0006630104905437032,0.0019599268906367396,4.551208584829833e-05,1.947688632763177e-05,1.5130367338344397e-05,0.0034318004094462035,0.011220184543019636
6,0.04307924020735212,0.024093721368543757,0.014829535904872071,0.003732113589514264,6.746689720568893e-05,0.00018251440320822925,0.0006549044554944611,0.0019339895040619086,4.490699926311767e-05,1.9231100661657987e-05,1.4963462181921468e-05,0.0033843511334476018,0.01148153621496883
7,0.04247479118889287,0.023664129869748612,0.014555082593733242,0.003679278336071306,6.656745036592052e-05,0.0001801308936326205,0.000646831322826203,0.0019082497048785916,4.4303654364505153e-05,1.898591586219178e-05,1.4796827001320674e-05,0.003337243754690653,0.011748975549395297
8,0.041873715139781324,0.023227352579615383,0.014286344043549335,0.0036268596503008068,6.5670945916947e-05,0.000177749373431943,0.0006387931757670808,0.0018827094563154997,4.3702272585933544e-05,1.8741422275932902e-05,1.4630521831765111e-05,0.0032904782336819795,0.012022644346174132
9,0.04127621628854524,0.022798948838538766,0.014023177214722233,0.0035748565746152707,6.477770858584421e-05,0.00017537063048105828,0.0006307921161090801,0.0018573709037978784,4.3103074708782974e-05,1.8497710048619262e-05,1.4464606725708212e-05,0.0032440549825229984,0.012302687708123818
10,0.04068249236844079,0.022378802165196644,0.013765443050577893,0.0035232686623134337,6.388806179881203e-05,0.00017299545810143619,0.0006228302600816825,0.0018322363607341388,4.250628053126145e-05,1.8254868993831746e-05,1.4299141669466055e-05,0.0031979748448064805,0.012589254117941675
11,0.040092734330230154,0.021966792912911332,0.01351300653551029,0.003472095954793911,6.300232718883548e-05,0.0001706246539457291,0.000614909734191107,0.001807308294240215,4.191210853632068e-05,1.8012988461232803e-05,1.4134186499157767e-05,0.0031522390751157186,0.012882495516931342
12,0.039507126086949056,0.02156279882799777,0.013265736733081084,0.003421338958333089,6.212082410306573e-05,0.00016825901886043568,0.0006070326710341583,0.0017825893108215601,4.132077555955254e-05,1.7772157204619658e-05,1.396980081619194e-05,0.0031068493181511856,0.013182567385564075
