,Calibrated deltas,Closed economy welfare,Optimal deltas,Optimal welfare
USA,0.0882810565650259,0.7631751042061944,0.01,0.7795853055048234
EUR,0.0953585509398004,0.7952185676761732,0.023713737056616554,0.8012222484256479
JAP,0.1065358502962945,0.7348525349022932,0.028183829312644536,0.7382419541125973
CHN,0.1481211830264259,0.7749946974248291,0.028183829312644536,0.7761473260929717
BRA,0.1697777653533396,0.7264831469944427,0.028183829312644536,0.7265024934255014
IND,0.2406888213239752,0.6945434255465185,0.028183829312644536,0.6945927766491913
CAN,0.0725988552307783,0.6774723663717016,0.028183829312644536,0.6775906789293474
KOR,0.066110370817604,0.7498589504583513,0.028183829312644536,0.7501899542051108
RUS,0.2283768023994627,0.7845861270407432,0.028183829312644536,0.7846007656016899
MEX,0.2053806594652027,0.6751941346847996,0.028183829312644536,0.6751997835768037
ZAF,0.1699984876783991,0.6973902238967489,0.028183829312644536,0.6973950502298668
ROW,1.5103080816663512,0.6948948237278382,0.028183829312644536,0.6960681285733816
