,delta dom,delta int
USA,0.0765751634183733,0.0765751634183733
EUR,0.0867461477236749,0.0867461477236749
JAP,0.0972782339517568,0.0972782339517568
CHN,0.1365413748423457,0.1365413748423457
BRA,0.1562186830398815,0.1562186830398815
IND,0.2238104586098304,0.2238104586098304
CAN,0.0659528486277629,0.0659528486277629
KOR,0.0601223709784965,0.0601223709784965
RUS,0.210102894849528,0.210102894849528
MEX,0.1900262078030433,0.1900262078030433
ZAF,0.1558353127282362,0.1558353127282362
ROW,1.415162117084635,1.415162117084635
count,12.0,12.0
mean,0.2395309844714637,0.2395309844714637
std,0.37449064387249764,0.37449064387249764
min,0.0601223709784965,0.0601223709784965
25%,0.08420340164734949,0.08420340164734949
50%,0.14618834378529094,0.14618834378529094
75%,0.19504537956466447,0.19504537956466447
max,1.415162117084635,1.415162117084635
