,Non patent,Patent
USA,55162.73020141429,80523.62337650511
EUR,24771.035886660567,18529.777791530356
JAP,46380.59201562128,42252.76502036297
CHN,1154.471412755719,9465.57453769634
BRA,1981.28876676177,1196.2054681952493
IND,176.67360254587288,94.22908980107763
CAN,319203.76769670646,253.79180327552297
KOR,64432.477521148285,5161.834666140446
RUS,9063.884715881832,2756.548197992811
MEX,2732.2320529678877,4704.322942181555
ZAF,2023.2020411253368,1035.9100255421854
ROW,429.1517057943442,254.62626439290216
count,12.0,12.0
mean,43959.292301615314,13852.43409863471
std,89828.33800293942,24231.15306014596
min,176.67360254587288,94.22908980107763
25%,1774.5844282602573,840.5890852548646
50%,5898.0583844248595,3730.435570087183
75%,48576.126562069534,11731.625351154844
max,319203.76769670646,80523.62337650511
