,Patent
USA,0.0263581773176923
EUR,0.014368398158783
JAP,0.0290208711834918
CHN,0.003106985086085
BRA,0.0013001506724001
IND,0.0007781993001066
CAN,0.0115103191681655
KOR,0.0166705182349034
RUS,0.00126828200652
MEX,0.0009923572853294
ZAF,0.0014504054899101
ROW,0.0021662230638066
count,12.0
mean,0.009082573913932817
std,0.010380182311770934
min,0.0007781993001066
25%,0.0012921835059300749
50%,0.0026366040749458
75%,0.0149439281778131
max,0.0290208711834918
