,delta_dom,delta_int,welfare
USA,0.01,0.01,0.9140908829328396
EUR,0.01,0.01,1.5142254274258562
JAP,0.01,0.01,1.62406593537969
CHN,12.0,12.0,7.809148921157444
BRA,12.0,12.0,7.246976947337004
IND,12.0,12.0,6.988765673877381
CAN,0.01,0.01,3.037172322279332
KOR,0.01,0.01,3.0013570303473642
RUS,12.0,12.0,7.165608531225814
MEX,12.0,12.0,6.934569295848505
ZAF,12.0,12.0,7.135210526162211
ROW,12.0,12.0,6.768069979062247
Negishi,,,4.597162987357734
Equal,,,6.788768272543805
