moment,value
GPDIFF,0.0087725
KM,0.09277
SRDUS,0.65
GROWTH,0.0168692
JUPCOST,0.00033926444648663037
UUPCOST,0.0046659294368850334
TP,1.47942
SINNOVPATEU,0.3475
SINNOVPATUS,0.4
NUR,0.1
TE,5.0
sales_mark_up_US,1.8
ERDUS,0.15
TO,0.071287577
TOCHEM,0.08029173
TOPHARMA,0.07421839
TOPHARMACHEM,0.07944382
TOPATENT,0.070641617
AGGAVMARKUP,1.06294875
AVMARKUPPHARCHEM,1.1918881068170177
KMCHEM,0.09342382765228822
KMPHARMA,0.26020093672949884
KMPHARMACHEM,0.17678907521403323
KMPATENT,0.08472212519383131
TECHEM,3.13
TEPHARMA,3.13
PROBINNOVENT,0.7
SHAREEXPMON,0.3
