country_code,country,fee
1,USA,15537.615875933041
2,EUR,39411.02870715375
3,JAP,27870.90553597217
4,CHN,17139.77898387999
5,BRA,25792.91545161621
6,IND,13969.115479510241
7,ROW,113970.69281026708
