origin_code,destination_code,sectors,patent flows
8.0,11.0,2.0,19.736175259218708
8.0,12.0,1.0,78.68472089327953
8.0,12.0,2.0,29.991806674523946
9.0,1.0,1.0,255.55279050791873
9.0,1.0,2.0,89.17351225399052
9.0,2.0,1.0,80.25668336906595
9.0,2.0,2.0,44.519218496193126
9.0,3.0,1.0,45.79244899001946
9.0,3.0,2.0,27.749373188142982
9.0,4.0,1.0,108.61594395396976
9.0,4.0,2.0,43.26006798294896
9.0,5.0,1.0,21.448728628479923
9.0,5.0,2.0,16.9630104059508
9.0,6.0,1.0,33.160282774908495
9.0,6.0,2.0,19.75779855979989
9.0,7.0,1.0,38.95093099450286
9.0,7.0,2.0,26.452935308047007
9.0,8.0,1.0,41.37364375162551
9.0,8.0,2.0,21.164812601878754
9.0,9.0,1.0,15802.36570845379
9.0,9.0,2.0,9361.049531377297
9.0,10.0,1.0,6.662726636249064
9.0,10.0,2.0,13.634962328501915
9.0,11.0,1.0,5.229665003155948
9.0,11.0,2.0,5.491263598573589
9.0,12.0,1.0,6.025676395308395
9.0,12.0,2.0,6.106524673120993
10.0,1.0,1.0,125.39819745651943
10.0,1.0,2.0,47.394184981502114
10.0,2.0,1.0,18.08045996092227
10.0,2.0,2.0,13.423919808624328
10.0,3.0,1.0,10.685259695125408
10.0,3.0,2.0,11.327642134680517
10.0,4.0,1.0,23.775700764026137
10.0,4.0,2.0,16.373216002398546
10.0,5.0,1.0,30.903464627204105
10.0,5.0,2.0,23.876269143277757
10.0,6.0,1.0,11.054409588589186
10.0,6.0,2.0,9.815723317895044
10.0,7.0,1.0,29.969094001998894
10.0,7.0,2.0,21.293411923827108
10.0,8.0,1.0,6.824364176004274
10.0,8.0,2.0,8.566717600090156
10.0,9.0,1.0,4.7095590779266265
10.0,9.0,2.0,8.880204559572778
10.0,10.0,1.0,484.6320044583826
10.0,10.0,2.0,383.67359870322315
10.0,11.0,1.0,1.44751174401672
10.0,11.0,2.0,4.122680422924092
10.0,12.0,1.0,1.5366090283186258
10.0,12.0,2.0,2.16042815817817
11.0,1.0,1.0,106.75448548528597
11.0,1.0,2.0,44.384786897329946
11.0,2.0,1.0,35.79194078857382
11.0,2.0,2.0,17.25313514111032
11.0,3.0,1.0,23.115814469858844
11.0,3.0,2.0,11.729919821688647
11.0,4.0,1.0,46.314903018825525
11.0,4.0,2.0,22.60611316548604
11.0,5.0,1.0,28.87199746856182
11.0,5.0,2.0,15.659108442009897
11.0,6.0,1.0,48.069988309455425
11.0,6.0,2.0,24.755746525135624
11.0,7.0,1.0,32.26942853057142
11.0,7.0,2.0,18.669224606632863
11.0,8.0,1.0,14.497022818016935
11.0,8.0,2.0,6.553113527619533
11.0,9.0,1.0,18.57125620672005
11.0,9.0,2.0,9.731029146423024
11.0,10.0,1.0,11.471299053851297
11.0,10.0,2.0,4.195132135597311
11.0,11.0,1.0,738.936626405159
11.0,11.0,2.0,456.4830063056683
11.0,12.0,1.0,7.528466123536252
11.0,12.0,2.0,4.149957009084226
12.0,1.0,1.0,17655.28145145858
12.0,1.0,2.0,2839.7893199873456
12.0,2.0,1.0,1653.3206087714561
12.0,2.0,2.0,563.4703227635019
12.0,3.0,1.0,1721.193564450671
12.0,3.0,2.0,614.5343085183117
12.0,4.0,1.0,5556.567984713049
12.0,4.0,2.0,1118.9508053405905
12.0,5.0,1.0,458.8495271511529
12.0,5.0,2.0,296.23870833766244
12.0,6.0,1.0,821.5106985451424
12.0,6.0,2.0,226.68283788910773
12.0,7.0,1.0,846.3809021044462
12.0,7.0,2.0,450.29450653147927
12.0,8.0,1.0,963.4950631770392
12.0,8.0,2.0,329.20706284802253
12.0,9.0,1.0,498.07917212291636
12.0,9.0,2.0,275.1379643649162
12.0,10.0,1.0,221.3859816110897
12.0,10.0,2.0,176.8909507046673
12.0,11.0,1.0,201.44672314531576
12.0,11.0,2.0,124.28522702184553
12.0,12.0,1.0,1259.0852228030242
12.0,12.0,2.0,451.18905731707446
