,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0,nu,nu_tilde
GPDIFF,27.036388114094734,38.589663714170456,18.764423474669456,62.693254724144936,22.044931679964066,50.74881309270859,79.42046984285116,-0.0001913309097290039,-0.0005562379956245422,-0.00017878413200378418,-0.002777695655822754,-1.6689300537109375e-06,-4.783272743225098e-06,-1.4820695663350613e-07,-3.42602357077975e-14,-4.831270700492749e-13,-6.075200865101529e-13,2.3758930974638914e-10,2.56108881919073e-10,3.0260816155530195e-11,1.3646163809586778e-11,-6.847633447105936e-07,-43.886174350976944,-18.33919007331133,-114.25726120173931
GROWTH,8.220989547669888,11.7340097296983,5.70572230219841,19.06322268024087,6.703230746090412,15.431259229779243,24.14949168637395,-5.817599594593048e-05,-0.00016913563013076782,-5.435571074485779e-05,-0.0008446164429187775,-4.973262548446655e-07,-1.4565885066986084e-06,-4.5051441504712624e-08,-1.0321994091451811e-14,-1.4555751469433282e-13,-1.839581296436993e-13,7.251999280049669e-11,7.817276919041473e-11,9.236586326542646e-12,4.165253488391313e-12,-2.076973706006252e-07,48.029489886015654,-5.576419960707426,-34.742327934131026
KM,-177636.45634376258,6.392816921696067,3.0835062377154827,10.309984819963574,3.6250661574304104,8.34889910556376,13.059237647801638,-0.05865149013698101,-0.03373369574546814,-0.0005008000880479813,-0.0011394880712032318,-0.00020194053649902344,-0.0011127516627311707,-0.0005165127476737604,-8.29053780749587e-15,-1.2504009905922738e-13,-2.2670384521339802e-11,-9.215771618427309e-08,-9.934121058461532e-08,-1.173776593628157e-08,-5.293164463966839e-09,-0.0005588774721842324,-5.504963967949152,91.207284335047,-327669.9430845082
OUT,143805.51111626998,-10.295676684007049,-5.45150363445282,-18.43455894291401,-6.482356099411845,-14.903789598494768,-22.88423166796565,-0.0006181672215461731,-0.0007329285144805908,-0.00029119662940502167,0.00042955391108989716,-0.00029158592224121094,-0.000308014452457428,-2.1055536809984633e-06,5.694469325205096e-09,-7.42172991679221e-11,-5.5943238397286484e-11,-1.027373471339684e-07,-1.1074550085565125e-07,-1.3085251930090905e-08,-5.900815444301869e-09,-5.568770558708025e-05,0.8230900391936302,4.9789467584341764,239871.87585029937
RD,-13309.565955400467,56.17850834131241,27.25696747750044,91.02714148163795,32.007864624261856,73.68522229790688,115.41549315303564,-0.004412118345499039,-0.0043562836945056915,-0.0005370751023292542,-0.00421915203332901,-0.0003972090780735016,-0.0005319826304912567,-4.009545654641182e-05,-2.8605100647055284e-14,-4.03380133807167e-13,-2.0511658782905288e-11,-7.837822688558062e-08,-8.44831729204905e-08,-9.982198761816698e-09,-4.501488617606597e-09,-4.38276895204623e-05,-22.583179105073214,-48.04139606282115,-1679581.0791533552
RD,38.50953101925552,-992.509776619263,26.614700633101165,88.90386925637722,31.261310366913676,71.96892127208412,112.65395557135344,-0.4423312759026885,-0.003583320416510105,-0.0001414148136973381,-0.003889794461429119,8.881837129592896e-05,2.2348016500473022e-05,-1.2155318316556849e-05,1.3178935381604443e-12,1.8584520233858603e-11,1.5547244239771545e-11,4.5220014177399234e-08,4.875002787227006e-08,5.760111168209642e-09,2.5975314135225066e-09,2.6229767766722298e-05,-22.03525178413838,-51.523612818680704,-265733.18356131297
RD,39.01958675310016,54.98337446898222,-529.6024822629988,89.04178664088249,31.30989472195506,72.07893178984523,112.90620606392622,-0.0021294280886650085,-1.5287687294185162,-0.00044263526797294617,-0.00398031622171402,-2.5782734155654907e-05,-5.875527858734131e-05,-2.331215492405132e-05,-1.4302550323527642e-13,-2.0169006690358347e-12,-3.0029037034720593e-12,-8.354303170617218e-09,-8.992101964588848e-09,-1.062471330018877e-09,-4.791231584075265e-10,1.8416306103086151e-06,-22.313829138875008,-49.970934964716434,-145101.24731954932
RD,37.88484326004982,54.03313071653247,26.261740688234568,87.59212111309171,30.850187584757805,71.01919711753726,111.1441107057035,-0.001125585287809372,-0.0031188540160655975,-0.0039837546646595,-0.003921244293451309,-3.283470869064331e-05,-4.285573959350586e-05,-5.994295824349269e-07,-4.118914876280398e-13,-5.806041503685115e-12,-5.700083397892135e-12,-9.027012437166587e-09,-9.730648507797337e-09,-1.1497350789324988e-09,-5.18474886602614e-10,-5.944539760603559e-06,-21.87454116716981,-53.021948993206024,-101.03251135349274
RD,38.157460257411,54.2005078792572,26.3331461250782,87.97779688984156,30.933517299592495,71.21706862002611,111.44842021912336,-0.00041825324296951294,-0.0008566007018089294,-0.000249616801738739,-0.008592642843723297,-8.374452590942383e-06,-1.5676021575927734e-05,-4.2692175939753923e-07,-1.560378042973726e-13,-2.197299078204875e-12,-2.7783569473589316e-12,-2.6355837383494796e-09,-2.8350657626390407e-09,-3.35683937353207e-10,-1.5137721249239287e-10,-3.077890727467285e-06,-21.91883897036314,-53.258386716246605,-93.1692295819521
RD,37.958817072212696,54.5081859305501,26.503333695232868,88.55521537363529,31.13885424286127,33.44727976620197,112.18755909055471,-0.002602815628051758,-0.0013478845357894897,-0.00031194090843200684,-0.003980904817581177,-0.0038471147418022156,-8.10474157333374e-05,-8.647314893480593e-07,-7.574586727961127e-13,-1.0681444003845826e-11,-7.02314168974237e-12,-1.6291443715982057e-08,-1.7567282493495485e-08,-2.075680866296193e-09,-9.360316315436325e-10,-8.349008979297485e-06,-22.013831853866577,-53.66052282601595,-158184.95079574734
RD,37.704468704760075,54.441317239776254,26.48501959256828,88.49481451138854,31.117579467594624,71.63531048968434,80.77815203182399,-0.006290610879659653,-0.009083420038223267,-0.0005344431847333908,-0.003972465172410011,-2.5451183319091797e-05,-0.0007356125861406326,-1.281704427236356e-06,-9.446271720395128e-14,-1.32705095843663e-12,-2.3714886997661947e-12,2.693599732589877e-10,2.9035599985011186e-10,3.4307320641444114e-11,1.5470941528310592e-11,-2.4654315868565677e-06,-22.01124681532383,-53.51862170174718,-8345.956765852869
RP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RP,143811.85410917364,-36755.73360467702,-0.015325091779232025,-0.18440356198698282,-0.0650451984256506,-0.13853725045919418,0.2964105177670717,0.016348601318895817,-0.0007875524461269379,-0.0008276635780930519,-0.0008400082588195801,-0.0007888684049248695,-0.0007868260145187378,-2.3143034195925773e-06,5.687538366967749e-09,-8.054779872052974e-08,-1.4082633113109177e-10,-2.8289254924885944e-07,-3.0494676109386183e-07,-3.60320552110761e-08,-1.6248713361835776e-08,-0.00014951180286455534,-0.005815434269607067,0.3348223939538002,194312.78477250412
RP,143811.46010725293,0.38264902401715517,-10266.543863648549,0.006493036635220051,0.002093501389026642,0.01856796909123659,0.30150373466312885,-0.0003174562007188797,-0.007046269252896309,-0.00012971181422472,-0.0002107946202158928,-0.00013325456529855728,-0.0001447172835469246,-1.410301643918884e-06,5.696857535409838e-09,-4.054686518704008e-11,-6.799091325984412e-08,-4.675467535837736e-08,-5.039575078936922e-08,-5.954563302255571e-09,-2.685219916723354e-09,-2.778182712825837e-05,-0.028899203054606915,0.2629620358347893,212414.62012325227
RP,143813.32383996062,0.7411805633455515,0.006919160485267639,-173.28169380500913,-0.07410727627575397,-0.15192226320505142,0.2979466877877712,-0.00042848847806453705,-0.00040291808545589447,-0.00010230951011180878,-0.00022647902369499207,-0.00016761012375354767,-0.00019225291907787323,-1.9033287188754365e-06,5.696232464546898e-09,-4.935483687077095e-11,-3.594941192949922e-11,-0.00014346023148849188,-6.563981303278194e-08,-7.7557416196758e-09,-3.497464181500081e-09,-3.4695739429122524e-05,-0.015434041619300842,0.5112869217991829,239845.12865218334
RP,143812.80846762005,0.712421185337007,-0.024049950763583183,-0.25374604295939207,-5.088113468140364,-0.1840297719463706,0.28977631870657206,-0.0005175517871975899,-0.0007068458944559097,-0.00032155029475688934,-0.00027489475905895233,-0.00023331772536039352,-0.0002450477331876755,-1.969457128263394e-06,5.695558144595128e-09,-5.887840181490734e-11,-4.348302106262122e-11,-7.620849776764957e-08,-0.00015465916152898718,-9.707520277963084e-09,-4.377621912678008e-09,-4.2518947983017235e-05,0.0070815254002809525,0.5064259208738804,239841.302976029
RP,143813.185859764,0.846302093937993,-0.030914618633687496,-0.3138881912454963,-0.11073630675673485,-31153.859372646548,0.21926175616681576,-0.00018369778990745544,-0.0006988858804106712,-0.0002709031105041504,-0.00031122472137212753,-3.679189831018448e-05,-0.00022850465029478073,-1.962230299392397e-06,5.69540674619775e-09,-6.09978895621187e-11,-4.5592483992316623e-11,-7.851359753880821e-08,-8.463914620758945e-08,-1.8274212141253377e-05,-4.509501771936645e-09,-4.588304285171319e-05,0.03547106869518757,0.4893376585096121,209651.5080550341
RP,143813.1841137471,0.7817797887837514,-0.031127360765822232,-0.32249530707485974,-0.11358713242225349,-0.24080800521187484,-12503.875830870355,0.00025778403505682945,0.00046973000280559063,-0.0002419950906187296,-0.0002964774612337351,-0.0002237510634586215,-0.00020303716883063316,-1.8971672853130738e-06,5.695510293848251e-09,-5.954042720005799e-11,-4.3665751713641846e-11,-7.667051055511606e-08,-8.265272030476874e-08,-9.76591969460626e-09,-8.240678931623844e-06,-4.2998738655994935e-05,0.037662976305000484,0.47850516356993467,238166.97737431305
