,eta,eta,eta,eta,eta,eta,eta,delta,delta,delta,delta,delta,delta,fe,T,T,T,T,T,T,T,fo,g_0,nu,nu_tilde
SRDUS,-16555.21158926934,46.675359189510345,22.748294077813625,76.01372054964304,26.728409476578236,61.52714320272207,96.24657043069601,-0.005619823932647705,-0.0073118507862091064,-0.0004874765872955322,-0.003418080508708954,-0.0004911646246910095,-0.0005385801196098328,-4.877792332672297e-05,2.0973413526247828e-13,2.9576048198529327e-12,-4.176307801597919e-11,-1.7395405206385046e-07,-1.8751637171858452e-07,-2.2156195475177555e-08,-9.991372053468031e-09,-0.00014213588796543536,-8.988412596285343,-65.70878775417805,-1760471.4224464968
SPFLOW,57504.436023682356,-34831.21778785065,3069.122584511526,-7.918332883156836,-3.5431575318798423,213.5307894339785,2465.250337167643,5.048871720209718,2.46848629694432,1.3782065911218524,0.44466915633529425,0.19131671357899904,0.5942550012841821,-8.101866982244315e-05,-1.3321823624279994e-12,-1.8786016740237327e-11,-1.3997020570745636e-11,-2.1118857903401785e-08,-2.2765027142094344e-08,-2.6898258895224547e-09,-1.212981319440813e-09,0.00789535521280477,-4.940937745384872,0.9167010458186269,-136656.62794769835
SPFLOW,57503.59338218719,12305.754943657666,-9768.446320191026,-8.611031755805016,-3.7868322990834713,212.9707302749157,2464.323042213917,4.585054770112038,4.132758561521769,1.3785497285425663,0.4447384737432003,0.19138619676232338,0.5942944884300232,-6.461697062955971e-05,8.713300331454268e-14,1.2287222118080114e-12,-1.0585775645333159e-12,9.974607009759744e-09,1.0752106025218757e-08,1.2704264735993227e-09,5.729008655175938e-10,0.007584387058888071,-4.584796350449324,-0.637208990752697,-262307.97589935735
SPFLOW,57504.751493950374,12306.519374511321,3069.242763915099,-232.84569805767387,-3.404058820218779,213.85292774939444,2465.771368556656,4.583997688489035,2.4679463668726385,1.3822464908007532,0.44469023623969406,0.19139156746678054,0.5942808270920068,-9.930467996606632e-05,3.1159519663570157e-13,4.394017474835172e-12,2.1000318022748417e-12,1.1888703153069044e-08,1.2815401817743381e-08,1.5142173729395336e-09,6.828387644355983e-10,0.008987307081679604,-4.9946816810406744,2.548469093744643,-414857.14925688924
SPFLOW,57504.5665673241,12306.46204322949,3069.219405412674,-7.605009131133556,-9.938522819429636,213.7854343019426,2465.6657310798764,4.583252761512995,2.4654825627803802,1.3783688247203827,0.4495812840759754,0.19137437269091606,0.5942574553191662,-9.832035092517536e-05,1.0942411821416734e-13,1.5430645041798154e-12,-8.641449506394416e-14,7.611145911061653e-09,8.204418252174954e-09,9.694017268428568e-10,4.371532708768788e-10,0.008887919149314215,-4.96759644523263,2.544015794992447,-414868.5945442207
SPFLOW,57505.10277831927,12306.558678280562,3069.2552064545453,-7.491614613682032,-3.393240302801132,-40394.54770911485,2465.809876780957,4.585536412894726,2.46600878611207,1.3784275315701962,0.444730706512928,0.19531486183404922,0.5943241715431213,-0.00010056108048492831,8.01491860356455e-13,1.1302386167595054e-11,5.5351102709518774e-12,2.3891538961474108e-08,2.5753832684141202e-08,3.0429713734072686e-09,1.3722328444803075e-09,0.009074658933697067,-4.970535378903151,2.5564920864999294,-250236.0599662885
SPFLOW,57505.44387259707,12306.720006925985,3069.318550313823,-7.281720196828246,-3.319406619295478,214.04724205192178,-13859.12345554214,4.589386019855738,2.474308606237173,1.3786567179486156,0.444712707772851,0.19138868525624275,0.5950014013797045,-0.000100021106734905,6.882244464699386e-14,9.705124716454584e-13,-2.278200324413073e-13,6.538540684212401e-09,7.048205770720535e-09,8.327882166988498e-10,3.7554718832952913e-10,0.008900893855194039,-4.991573710925877,2.5736937234178185,-406265.09588535316
SPFLOW,-117251.19745020382,12319.78299975209,3071.0882655009627,-1.3146936409175396,-1.221085460856557,218.87762949243188,2473.5336347501725,-15.153658678755164,2.469173973426223,1.378580378368497,0.44448430836200714,0.19179248809814453,0.5946988984942436,-2.7340851829159506e-05,-4.1856235083076003e-13,-5.902434645065139e-12,1.7716280798639824e-11,8.602183412675297e-08,9.272704980854251e-08,1.0956262765567239e-08,4.940744349768092e-09,0.0052865800096716375,-0.695124190300703,-2.815242437645793,1247571.625476703
SPFLOW,57427.41117515415,12322.236793480814,-9733.579541850835,-0.13031203672289848,-0.8047170974314213,219.83441933989525,2475.019849896431,-15.091818653047085,4.131958816200495,1.3785222694277763,0.4443372078239918,0.19137468934059143,0.5943376608192921,-5.2664460779203885e-05,6.30300490265249e-14,8.888299301547556e-13,2.114536508004088e-13,-8.836388456090997e-09,-9.525165800211104e-09,-1.1254560520170153e-09,-5.07526220290271e-10,0.00635176837993,-0.8532460145652294,-0.37701844051480293,-268372.32332718
SPFLOW,57428.277710227296,12323.196797594428,3071.8278714977205,-224.08617709763348,-0.3593324664980173,220.8606761302799,2476.6883053462952,-15.065964162349701,2.4678925964981318,1.3822294436395168,0.4442919157445431,0.19139084219932556,0.5943348035216331,-9.827782132979136e-05,4.4208881076792546e-13,6.234197384674297e-12,5.223167036876352e-12,-2.991277036370963e-09,-3.224440603463678e-09,-3.809871940976781e-10,-1.7180678912593122e-10,0.008891256484538746,-1.2901243828237057,2.8809718042612076,-420829.8111322429
SPFLOW,57428.146242173156,12323.151421654737,3071.8136772778817,1.0842962358146906,-6.882393211591989,220.81789788603783,2476.621565580601,-15.06111402460374,2.465428047114983,1.3783511493820697,0.44918108987621963,0.19137289561331272,0.5943106922786683,-9.680658854268846e-05,2.3088941903036405e-13,3.255929978792614e-12,2.9270455245664947e-12,-7.52325858645343e-09,-8.10968030094181e-09,-9.582078638899754e-10,-4.321053803397569e-10,0.008713644529970898,-1.2677408333402127,2.889245740370825,-420838.4266288616
SPFLOW,57428.54802447185,12323.203937072307,3071.8213316462934,1.10376438498497,-0.37080518156290054,-40339.0569550693,2476.6462570801377,-15.082226615399122,2.4659561291337013,1.37841135263443,0.44433577358722687,0.195313923060894,0.5943786464631557,-9.969833814404665e-05,9.413329186060708e-13,1.327438079486349e-11,8.765179351599607e-12,9.232831083400377e-09,9.952510271785371e-09,1.1759493906021151e-09,5.302962726934769e-10,0.009045258059488769,-1.2558718249201775,2.8615912720561028,-256263.7601409033
SPFLOW,57428.81908496469,12323.255698040128,3071.8360316343606,1.1510986499488354,-0.35413284599781036,220.87208454683423,-13800.23130870238,-15.09505107998848,2.4742521792650223,1.3786398358643055,0.44432389736175537,0.19138747081160545,0.5950543992221355,-9.702200970356747e-05,1.915608371546562e-13,2.7013306849389743e-12,2.8110897106407287e-12,-8.52973248653461e-09,-9.194606661920209e-09,-1.0863984869790636e-09,-4.899131483965021e-10,0.008737400226861671,-1.2527797222137451,2.8130243867635727,-412286.05649844185
SPFLOW,-118768.83608555142,12300.675292432308,3066.626415601,-16.779525890015066,-6.65898331720382,206.35856616031379,2453.9521896792576,4.587446680292487,-29.886871389113367,1.378632329404354,0.4451858513057232,0.19181883241981268,0.5947330985218287,-3.918569055103361e-05,1.3908612517111862e-13,1.9613487984011625e-12,2.4822891034750775e-11,8.927314713730857e-08,9.62317956272461e-08,1.1370369719207234e-08,5.127486547830969e-09,0.006132254411228454,-7.528083646669984,-3.0877412585541606,1228837.5519350898
SPFLOW,57421.341213651,-34899.22874679789,3067.681500542909,-15.236180294305086,-6.116328403353691,207.60525336116552,2455.944472230971,5.049011576920748,-29.679362662136555,1.3782751634716988,0.44498327746987343,0.19132164493203163,0.5943147465586662,-7.761518752958059e-05,-8.874169707454022e-13,-1.2514075053215431e-11,-7.969118548586304e-12,-3.9681558727235584e-08,-4.27746502958675e-08,-5.054084102906487e-09,-2.279147370686043e-09,0.007405697142561672,-7.985403813421726,0.7514409348368645,-145353.07695296034
SPFLOW,57421.430563896894,12301.927598923445,3067.8194461017847,-240.27118711173534,-5.974977552890778,207.93248981237411,2456.4725073873997,4.584027662873268,-29.360246732831,1.3823149502277374,0.4450035095214844,0.19139593839645386,0.5943398028612137,-9.930686387249016e-05,7.45818977331284e-13,1.0517304678764984e-11,7.999887346071194e-12,-6.8790393170756855e-09,-7.415245534633626e-09,-8.761561886891882e-10,-3.951040451845474e-10,0.008941563197838355,-8.031123206019402,2.3579703718423843,-421366.91396301985
SPFLOW,57421.2710445039,12301.849511004984,3067.7855711895972,-14.950349435210228,-12.521436939015985,207.83756490051746,2456.3240076433867,4.583282640203834,-29.311096562072635,1.378436904400587,0.44989611953496933,0.19137854129076004,0.5943163186311722,-9.77048234043776e-05,5.420419503609468e-13,7.643705126701067e-12,5.800572981167252e-12,-1.1202612221181488e-08,-1.207583158350978e-08,-1.4268326687287783e-09,-6.434324912543533e-10,0.0088023854024583,-7.997824100777507,2.3357756920158863,-421375.0546541456
SPFLOW,57421.70396780968,12301.932036213577,3067.8153087198734,-14.859488796442747,-5.98400054872036,-40403.06953544915,2456.4394298307598,4.58556630089879,-29.412031903862953,1.3784957341849804,0.4450465142726898,0.19531923905014992,0.5943831987679005,-0.00010061393148226183,1.238309865630873e-12,1.7462256310723308e-11,1.1436172835394246e-11,5.134415490275165e-09,5.534632058681363e-09,6.539503119192193e-10,2.94899946978105e-10,0.009062828689949785,-8.000302493572235,2.3484528809785843,-256753.37579092756
SPFLOW,57422.079109234735,12302.14140320383,3067.9016561675817,-14.57170520722866,-5.882778646424413,208.14417921379209,-13890.752634733915,4.5894171837717295,-29.58548828214407,1.3787246569991112,0.445025073364377,0.1913930457085371,0.5950606036931276,-0.00010020204842427288,5.034168288538386e-13,7.099025809746476e-12,5.678807101758966e-12,-1.2217201453790342e-08,-1.3169505849611867e-08,-1.556056909811551e-09,-7.017063710109899e-10,0.008820629099995717,-8.037424623966217,2.4119291324168444,-412895.0636966396
SPFLOW,-116427.75608984753,12312.695156432688,3074.856805998832,12.355226684361696,3.5852084048092365,229.94315231218934,2490.266891736537,4.5877930000424385,2.468738906085491,-7.6299884133040905,0.44343487173318863,0.19170479103922844,0.5945974253118038,0.00022747083416566695,1.6312044917927302e-12,2.300273277430121e-11,-9.518687562346575e-13,-1.4533006557219536e-08,-1.566582294575911e-08,-1.8510118998391462e-09,-8.347167990736191e-10,-0.02385908162409692,5.3102895095944405,-2.1601412780582905,-677563.0435028672
SPFLOW,57425.64870090224,-34515.603575695306,3075.726276854053,14.228394601494074,4.24371681548655,231.45509355328977,2493.2099802307785,5.0486037991940975,2.4683383237570524,-7.630096508190036,0.44358963519334793,0.19137739017605782,0.5943671073764563,8.04409238057984e-05,1.0791425205717305e-13,1.521772846445272e-12,2.0104463207679736e-12,-2.3930216290967705e-08,-2.5795524827709424e-08,-3.047897552781425e-09,-1.3744543130074497e-09,-0.010297605862059661,4.802400216460228,1.835058942437172,-273170.5954936482
SPFLOW,57431.72261184454,12319.395651493222,-9713.835875999182,13.786904625594616,4.088359087705612,231.09831158071756,2492.6632526554167,4.585002321749926,4.130430020391941,-7.629274673759937,0.44359568506479263,0.1913842335343361,0.5943449139595032,0.00013511800869832853,4.6437992566755e-13,6.5485396770461004e-12,4.389463556088982e-12,-1.2664062742761021e-08,-1.3651199008337565e-08,-1.6129718750808187e-09,-7.273722663156488e-10,-0.015206321265646361,5.124580409377813,0.38075951114296913,-297552.9963758886
SPFLOW,57434.10590238124,12320.321775391698,3076.0136380195618,15.117002818733454,-1.9482871480286121,232.17464873939753,2494.389504235238,4.583189122378826,2.465307302772999,-7.627174641937017,0.4484380893409252,0.19138050079345703,0.5943164378404617,-6.725053545718828e-05,5.503050360564973e-13,7.760228562666478e-12,6.831982352176676e-12,-1.114874022652969e-08,-1.2017760383539758e-08,-1.4199712046004894e-09,-6.403383029486912e-10,0.005297901288531236,4.6936810202896595,3.6888130977749825,-422078.14536102116
SPFLOW,57434.429086258635,12320.300105266273,3075.992816898972,15.042719891294837,4.5299425683915615,-40290.28722207248,2494.295903980732,4.585472611710429,2.465835638344288,-7.627969078719616,0.44359036162495613,0.19531915709376335,0.5943825226277113,-9.331611833944393e-05,1.2363882177946986e-12,1.7435157837242983e-11,1.2377894435011547e-11,4.994900837458972e-09,5.384242540810279e-09,6.361808791767278e-10,2.868867926480569e-10,0.008351192637147778,4.71793045476079,3.627717236056924,-257926.57301168703
SPFLOW,57434.00121641159,12320.29795178026,3075.9903486818075,15.03806670755148,4.52833104878664,232.11088245362043,-13759.15975176543,4.589321710169315,2.474128283560276,-7.6293768510222435,0.44358130544424057,0.1913944110274315,0.5950597152113914,-6.843160929459376e-05,5.242255297084144e-13,7.392463565433455e-12,6.6277299092982626e-12,-1.2611572081305424e-08,-1.3594616813494979e-08,-1.6062863459301782e-09,-7.243574161716702e-10,0.0055200545378986145,4.727575890719891,3.5598098188638687,-424300.2744934559
SPFLOW,-116550.3026033938,12311.823809485883,3073.265111118555,5.951346453279257,1.3337993286550045,224.7602754831314,2482.7685245648026,4.588230151683092,2.469007559120655,1.379102859646082,-13.501796584576368,0.19190818816423416,0.5949793346226215,0.00011192741968984047,6.316895671296836e-12,8.907887626663336e-11,3.671110333106664e-11,3.973957472147598e-08,4.2837188511219835e-08,5.061473371967722e-09,2.282479573476756e-09,-0.010709951067123287,2.5291019193828106,-2.5394310988485813,-904145.8389830627
SPFLOW,57425.13069535047,-34538.29659151286,3073.821101948619,7.802560109645128,1.9848491810262203,226.25529761984944,2485.1147521436214,5.048542186617851,2.4684219881892204,1.378255482763052,-13.497453354299068,0.19135696068406105,0.5943533964455128,1.055127484368051e-05,-2.2247191520512095e-13,-3.137228986922535e-12,-1.3564457103976689e-12,-2.972214638263404e-08,-3.2038923327050543e-08,-3.785592914061297e-09,-1.7071192249469692e-09,-0.0022887484666263133,2.0226714946329594,1.449746336787939,-222682.01488817483
SPFLOW,57430.581703383476,12315.482805702835,-9716.45850070566,7.323636326938868,1.8163443766534328,225.86832638829947,2484.476659037173,4.5850136540830135,4.131038099527359,1.3785370215773582,-13.491233345121145,0.19138413295149803,0.5943451970815659,4.891676342633663e-05,4.1919374940550306e-13,5.911338429208676e-12,4.42023235357387e-12,-1.116807889127649e-08,-1.2038606455323867e-08,-1.4224342942875676e-09,-6.414490372122622e-10,-0.005284791543917284,2.348612565547228,-0.017377693206071854,-270355.08388878405
SPFLOW,57431.452469691634,12316.378681391478,3074.086566492915,-216.48198026418686,2.2957960665225983,226.97235757112503,2486.248051509261,4.5839530527591705,2.4678612798452377,1.3822472095489502,-13.487878277897835,0.19139835238456726,0.5943397432565689,-8.947433672745724e-05,7.473562956002236e-13,1.0538983457549246e-11,8.871888159898266e-12,-6.4591140254309045e-09,-6.962587975892938e-09,-8.22671955484065e-10,-3.709852440327196e-10,0.00787648541048038,1.8976802825927734,3.274660050868988,-422058.5790311098
SPFLOW,57431.6615748778,12316.341890390962,3074.062738995999,8.59657110273838,2.263937085866928,-40301.202465754,2486.1322236172855,4.585491355508566,2.465924996882677,1.3784290589392185,-13.490688472986221,0.19532103836536407,0.5943834595382214,-9.628725028351842e-05,1.2453925105127735e-12,1.7562133541550803e-11,1.237560314158182e-11,5.670372770400741e-09,6.1123660481267135e-09,7.222130832468107e-10,3.2568315371135885e-10,0.008685762974433676,1.939456980675459,3.2342984564602375,-257975.23567819595
SPFLOW,57431.8581514284,12316.367545031011,3074.0604381486773,8.587363749742508,2.2607250586152077,226.89106366038322,-13769.401465460658,4.589338436722755,2.4742198511958122,1.3786582127213478,-13.493058785796165,0.19139566272497177,0.5950601249933243,-8.188788459378361e-05,5.119269835568973e-13,7.219033335159357e-12,6.5884505933601055e-12,-1.1771721498015862e-08,-1.2689301696013605e-08,-1.4993178795199319e-09,-6.761198138680146e-10,0.007062562655846041,1.9498465359210968,3.165329232811928,-414562.6944489032
SPFLOW,-116481.21873502433,12321.801162604243,3076.5809477567673,16.961239140480757,5.205166146159172,230.178258985281,2496.902539782226,4.5873581394553185,2.46883237734437,1.3783736862242222,0.4435236006975174,-5.368420474231243,0.5945606492459774,0.0005966210033340263,-2.527570851032317e-12,-3.564300928972503e-11,-3.90109072792457e-12,2.5130594838465452e-08,2.7089470283451717e-08,3.2007850483579114e-09,1.4433991755105364e-09,-0.06636130394343046,7.193001825362444,-1.8235510401427746,1101365.2495797314
SPFLOW,57436.24460883625,-34505.29461972974,3077.135553451255,18.858866591006517,5.8725497126579285,235.45095011778176,2499.1302489824593,5.04896636120975,2.468392675742507,1.3783179614692926,0.4436188396066427,-5.368473106995225,0.594448909163475,0.00033103800449333715,1.0744207573171303e-12,1.515114364390106e-11,1.6464252603111087e-11,1.4818942528832922e-08,1.597404700713846e-08,1.8874304402123714e-09,8.511397985421334e-10,-0.039099324548869684,6.678193049505353,2.1678920462727547,-156613.92055105045
SPFLOW,57435.86725658458,12322.467790696304,-9710.022697425913,18.410087196156383,5.714638612233102,235.3213843740523,2498.5867174235173,4.5850015031173825,4.128625073004514,1.3784802188165486,0.4435044238343835,-5.368292978964746,0.59432064415887,0.00043312126082753396,5.977011073301451e-14,8.428593055006279e-13,4.7217011033992213e-14,-1.5499594461260443e-08,-1.6707754283682783e-08,-1.974122400448636e-09,-8.902336777117491e-10,-0.0495052219060257,7.006483277305961,0.7120218370109797,-269133.7047127662
SPFLOW,57436.230968013406,12323.230808962137,3077.4178512729704,-205.34116457030177,6.209387745708227,236.47364918515086,2500.340825829655,4.583918035030365,2.467746965587139,1.3822160176932812,0.4434720315039158,-5.368075020611286,0.5943280160427094,-4.737692233751429e-05,6.389204534160889e-13,9.009855311159313e-12,7.611676773549081e-12,-4.219972914390807e-09,-4.548910664318419e-09,-5.374813567159578e-10,-2.423780839435326e-10,0.0030284856901246875,6.539768196642399,4.015688732266426,-421466.5806800388
SPFLOW,57436.135910179466,12323.211606612429,3077.4117001909763,19.789081828668714,-0.30476322025060654,236.44932877458632,2500.3034008089453,4.58317381888628,2.465281654149294,1.3783396258950233,0.4483757484704256,-5.36805572360754,0.5943067744374275,-8.963099910466158e-06,4.572423765617589e-13,6.447888204119168e-12,5.652620891133529e-12,-8.047647201060833e-09,-8.67494387244488e-09,-1.024997179779761e-09,-4.622241299689103e-10,-0.0014149075016003047,6.559018163010478,4.032527092844248,-421485.0099644419
SPFLOW,57436.70766749978,12323.202195584774,3077.3831447809935,19.68812543526292,6.164076015353203,236.36015057563782,-13750.204048898071,4.589304033666849,2.4741022810339928,1.3786260038614273,0.4435133822262287,-5.368394069373608,0.5950506553053856,-1.3297759257315563e-05,4.165583466587494e-13,5.874174808435654e-12,5.518089234045343e-12,-9.100223096565184e-09,-9.80956577955147e-09,-1.1590596327478658e-09,-5.22679809171847e-10,-0.0008173862677836726,6.594677854329348,3.896142229437828,-413319.10905424133
