,0
eta,-0.8450323144206777
eta,-4.185128378700028
eta,-2.113416943785296
eta,-0.05843167922958514
eta,-0.023961858553420257
eta,0.7254195355799311
eta,-4.54238132847513
delta,-0.0021724058009131575
delta,0.012365734022996122
delta,-0.0006142281227674573
delta,0.0018500876839375735
delta,-0.002431109301958556
delta,-0.000205160273017313
fe,3.4010425947034705e-07
T,9.194523096531929e-12
T,7.045273995461064e-11
T,6.621682691167305e-11
T,1.757259600364542e-07
T,2.0527730179297075e-07
T,2.2356707319381544e-08
T,9.437174426628237e-09
fo,5.799384756626641e-05
g_0,0.007846118896601695
nu,0.029306352143599668
nu_tilde,1490569.0046583684
