,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,0.0034015707710487,0.0070812707490406,0.0139859985008081,0.0126080946905097,0.0071356975181765,0.0059790498029201,0.0074063223915169,0.0063726647026217,0.0071488525436598,0.0074540990167255
1,-40,0.0040385921201675,0.0071111033461842,0.0116983421330605,0.011048628953332,0.0071311440794956,0.0062884429437349,0.0073368429420592,0.0066959242313667,0.0071333738563314,0.0073282222447015
2,-30,0.004861845936446,0.0071207964095073,0.0100401265010775,0.0096973858964348,0.0071176003823357,0.0065543654857483,0.0072231960970084,0.0068632972584505,0.0071072170533836,0.0072151185121114
3,-20,0.0055474932512734,0.0071076786785014,0.0087897136154005,0.0085316655383644,0.0071170608180303,0.0067610301905718,0.0071951674142507,0.0069182545150811,0.007101662074755,0.0071517423876739
4,-10,0.0062769713135896,0.0070862342424205,0.0078575515095971,0.0077761017765217,0.0070838225700788,0.0069067519368362,0.0070768238576899,0.0069318053292518,0.0070723647178248,0.0070762460794144
5,0,0.0070701170284768,0.0070701170284768,0.0070701170284768,0.0070701170284768,0.0070701170284768,0.0070525686251341,0.0070701170284768,0.0070701170284768,0.0070645420354297,0.0070701170284768
6,10,0.0077455554455641,0.007031139677026,0.0064200387628658,0.0063654763452502,0.0070202654175337,0.0071881309913334,0.006914284863496,0.007076802081149,0.0070112019045308,0.0070070485794436
7,20,0.008543703812242,0.0070059496187847,0.0058747050164878,0.005802350856392,0.0069892849851187,0.0072656421859966,0.0069100631194907,0.007125479532328,0.0069428983078712,0.0070203008114843
8,30,0.0092868550086265,0.0069787983543616,0.0054375088598401,0.0053188545884262,0.0069663747006155,0.0073248947443669,0.0066514963510681,0.0071377449077073,0.0069368023029363,0.0069556173306978
9,40,0.0100524053856802,0.0069840295463118,0.0050527096707668,0.0048586457162843,0.0069170901754997,0.0074054036931624,0.0067390779610213,0.00711451506144,0.0069863150799976,0.0069364320806045
10,50,0.0108561569821392,0.0069125000645973,0.0047560451196663,0.0044432778298618,0.0069118337731575,0.0072065293548831,0.0063221748143981,0.0071386690724101,0.0068635113963196,0.0069595287938971
