,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,1.149759230139623,1.0534463854794187,1.0929064253916982,1.102253576338402,1.090465683758956,1.0837100866377636,1.033428034576252,1.1052621239817562,1.0904100212360106,1.0949167847318992
1,-40,1.133018828864034,1.062249934139703,1.0930066762383674,1.0991523855972225,1.090974028306406,1.085864359432436,1.0416803636481182,1.1007850307223286,1.090899238629834,1.0943093802642094
2,-30,1.1197828262540648,1.0706887765623243,1.0930030497747585,1.0966555114448058,1.0916381543672442,1.087675157445498,1.0514078562415703,1.0977446860977942,1.0913941821303617,1.0938883132535964
3,-20,1.109319642062625,1.0784551306445227,1.093039827936338,1.0949588769761636,1.092072139150884,1.089565982371734,1.0631344232772115,1.0957904206766105,1.0919606173191536,1.093509986542234
4,-10,1.1004654799387192,1.085939864660328,1.0931195802450906,1.093966901372904,1.09254668069785,1.0912811211818938,1.0768603270091042,1.0939183065068518,1.0925046193060526,1.0931997752096998
5,0,1.0931130155712077,1.0931130155712077,1.0931130155712077,1.0931130155712077,1.0931130155712077,1.0930093309253197,1.0931130155712077,1.0931130155712077,1.093080846669938,1.0931130155712077
6,10,1.0866929334408082,1.099913670683739,1.0930847166896236,1.092394479224345,1.0935591230096793,1.0948099888095713,1.1113586165432243,1.0920801178220918,1.0935602022798063,1.0928457322902596
7,20,1.0810939726729218,1.1064278320505352,1.0930447444277924,1.0919804775242696,1.0941172493336362,1.0963954280355412,1.132752812835486,1.0918213380937742,1.0940616486117904,1.0928003527024452
8,30,1.0763398782168967,1.112650724101253,1.0930890708229162,1.0914673015586374,1.094637482011267,1.097932108734996,1.1576844768674783,1.0907572036041049,1.0947030073445003,1.0925834409160664
9,40,1.0721770005934643,1.1187184558843188,1.093246363023593,1.0912769043463957,1.0952275395427284,1.098889599769814,1.182848686682942,1.0900930241013989,1.0954439395496958,1.0924957623636138
10,50,1.0681819118093676,1.1244869601263612,1.093734197119319,1.0910769458280647,1.0958257460803231,1.1009589345356006,1.213594323922063,1.0897601094835807,1.0955231353067083,1.092450029893448
