,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,-0.0006905687304097075,-0.0012465520825705179,-0.0012253511216114843,-0.0006193684507656977,-0.0012394645319281292,-0.0012863746448626978,-0.0024766888873005433,-0.0010765654486412368,-0.0012392961061095248,-0.001216349407027681
1,-40,-0.0008204125080658875,-0.0012373401082795,-0.0012298114066389143,-0.000742600481708558,-0.0012314973751748753,-0.001288175673192296,-0.002177978818327514,-0.001113351020558262,-0.001243556909018284,-0.0012202798419361227
2,-30,-0.0009068421389115539,-0.0012594186631846582,-0.0012314623219798065,-0.0008529011388782454,-0.0012427677509386018,-0.0012463986168154834,-0.0019087131640289912,-0.0011594116795729525,-0.0012425688908173499,-0.0012225391135736036
3,-20,-0.0010419765220478355,-0.0012357521662363646,-0.001235160792253595,-0.00098190510651186,-0.0012358414061159131,-0.0012376869754866793,-0.0016567027728033729,-0.0011887915526344328,-0.0012406329601401256,-0.0012257925154874477
4,-10,-0.0011319346733793673,-0.0012377891445480849,-0.001232948409638293,-0.0011116078115071953,-0.001240587627351214,-0.0012370911182339045,-0.0014387446167926643,-0.0012033644046827857,-0.0012382506145002664,-0.0012343026726771567
5,0,-0.0012348411437684836,-0.0012348411437684836,-0.0012348411437684836,-0.0012348411437684836,-0.0012348411437684836,-0.001237473952499582,-0.0012348411437684836,-0.0012348411437684836,-0.0012383136434590547,-0.0012348411437684836
6,10,-0.0013506670924048891,-0.0012402367881511611,-0.0012389540516601766,-0.00139936383106061,-0.0012369111222335083,-0.0012401314486210069,-0.0010604088142816825,-0.001257442922097951,-0.0012386650403411331,-0.0012426174914394877
7,20,-0.0014338948626079623,-0.0012383479072026332,-0.0012432548147568723,-0.001549078686317179,-0.0012400966634112248,-0.0012447160042974165,-0.0008905372557169167,-0.001274027209743206,-0.0012396449356272266,-0.0012395675294468028
8,30,-0.0015351660738210926,-0.0012366290434741994,-0.0012448638903456155,-0.0016894850922953564,-0.001235668156300898,-0.0012761589341502705,-0.0008604703356156901,-0.0012884822609297852,-0.001230572102782837,-0.0012482899549359772
9,40,-0.0016177124461648484,-0.0012212560217762097,-0.0012478844242044124,-0.0019255593573856006,-0.0012445207566401384,-0.0012245654273802808,-0.0006350120731052344,-0.0013017401276488316,-0.0012476538852255331,-0.0012492289316944766
10,50,-0.0017034607947503944,-0.0012397540729434248,-0.0012648858119444079,-0.002089125208272133,-0.0012347582011542485,-0.0012372189477020956,-0.0004935409502124233,-0.0013171478224601602,-0.0012270634848880052,-0.001242748491078749
