,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,0.0160911563032047,0.0160623220511028,0.0160576977983809,0.0168585033207072,0.0053906476067775,0.0153309017829875,0.0160824125493626,0.0180497145106062,0.016090039328275,0.0161012047033178
1,-40,0.016071249465846,0.0160620235785775,0.0160567000540282,0.016653811228743,0.0074786248793627,0.0154919074651208,0.0160954585233989,0.0175224304024914,0.0160826160521638,0.0160930472030849
2,-30,0.0160790764302414,0.0160611094240985,0.0160584527441472,0.0164860339924219,0.0095870087003933,0.0156522906669301,0.0160668087519722,0.0170501889835311,0.0160762700978641,0.0160784488457662
3,-20,0.0160659241300874,0.0160621551736455,0.0160567476701444,0.0163176084406928,0.0117220257701168,0.0157969118250607,0.0160618277543446,0.0166480551733973,0.0160733842520267,0.0160699635491508
4,-10,0.0160656109382072,0.0160603095926019,0.0160604372774657,0.0161751689753685,0.0138788328930327,0.0159315652516829,0.0160558145825408,0.0163330502435849,0.0160647679625738,0.0160624877988043
5,0,0.016059814493763,0.016059814493763,0.016059814493763,0.016059814493763,0.016059814493763,0.0160622579908635,0.016059814493763,0.016059814493763,0.0160609998960961,0.016059814493763
6,10,0.0160573455340163,0.0160594481581962,0.0160598457301497,0.0159516792982273,0.0182627348019133,0.0161796187488475,0.0160552132428771,0.0158343912630582,0.0160510452830928,0.0160544902754654
7,20,0.0160550198092017,0.0160578463903076,0.01605956606124,0.0158548105031743,0.020482848296598,0.0162901674489811,0.0160697591333189,0.0156460159106458,0.0160484829043091,0.01606431215304
8,30,0.0160528048767864,0.0160581564569345,0.0160607925639764,0.0157708534415065,0.022735293954821,0.0163928624307172,0.0160046158138537,0.0154802454075256,0.0160405438427788,0.0160490494670919
9,40,0.0160513171738877,0.0160653902770392,0.0160762337897824,0.0156914697554456,0.0250123200813219,0.016526835530099,0.0160551053294077,0.0153401544190155,0.016031365668174,0.0160458318702874
10,50,0.0160531694210666,0.0160571545141145,0.0161116151797644,0.0156213818528346,0.0272888955735938,0.0166310521468867,0.0161643972036138,0.015215869977156,0.0160255249178573,0.0160526709066118
