,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,0.5125978448004396,0.3432120557336471,0.3204355448842561,0.1406769257715545,0.3518536631767985,0.5222304412457194,0.3456073148952456,0.2617965613506858,0.3531799111746316,0.3167474783100708
1,-40,0.4657105225229261,0.338988853362522,0.3235809317206917,0.1777248097721821,0.3475072072417233,0.4658809521790375,0.3453929492625469,0.2809903585443659,0.3495940330731302,0.3215114153778369
2,-30,0.4143790973491179,0.3373691013467228,0.3264973779123719,0.2144100478933966,0.3443243351717306,0.4203067684180873,0.3437718276180829,0.2994311095164195,0.3454705448090264,0.3259018542301434
3,-20,0.3851294017989556,0.3355057280327516,0.3290862145830624,0.2540762647313742,0.3398520350471831,0.3855054944286504,0.3409170400396317,0.3144130132749098,0.3410733657407552,0.328787183369252
4,-10,0.3566498872767072,0.3341542300873571,0.330273017494826,0.2928990608843518,0.3367263252564556,0.3573635182266654,0.338185904320813,0.3234165381570859,0.3370230703241637,0.3315805750739663
5,0,0.3325974758529245,0.3325974758529245,0.3325974758529245,0.3325974758529245,0.3325974758529245,0.3327494668159405,0.3325974758529245,0.3325974758529245,0.3327363440544413,0.3325974758529245
6,10,0.3135852298994536,0.3319488293208417,0.3348940293851439,0.3773432370000828,0.3294581444514312,0.3121321603649203,0.330325240197754,0.3402469149665809,0.3294811545376013,0.3348155691275228
7,20,0.2955867859759214,0.3309615839873637,0.3369246746690382,0.4230875199296659,0.3263127000863139,0.2946112012632572,0.3228832338559945,0.3453992280212679,0.3257842459783003,0.334079269857085
8,30,0.2802583982444891,0.3298167689049711,0.3381588153131453,0.469729205270419,0.3221307661799963,0.2798675960196722,0.3298869632651028,0.3509309743811786,0.3215781947025197,0.3371248424582393
9,40,0.2663222081404648,0.3266081361733662,0.3390993250512085,0.5232319721863706,0.3186424465071478,0.2612021495007394,0.3142841761131283,0.3554154599064207,0.3176653805095055,0.3381190804819242
10,50,0.2533451421026394,0.3285986270700151,0.3416357689427924,0.5793266156417334,0.3150317819418939,0.2480559817932039,0.3059056182347145,0.3591705868773523,0.3142891092268898,0.3371425323682905
