,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,-0.009963405310342566,-0.017860518097079225,-0.016790818670475716,-0.0003007746100736064,-0.027243054084480356,-0.019257558036056555,-0.04722565079057217,0.0006123949946035268,-0.02832465565184572,-0.017289073305482017
1,-40,-0.011949915573405967,-0.017173102292100673,-0.016978999227801328,-0.003913616389683572,-0.024304004993414008,-0.019812292864374026,-0.03952735017057618,-0.0025387858444081424,-0.025734110597541715,-0.01715761747461686
2,-30,-0.012214220863704384,-0.018223178148391028,-0.016941329528563642,-0.006505602988393644,-0.022790009717743587,-0.017769163974112878,-0.033550210244492895,-0.006375508985223544,-0.023172072753319117,-0.016901400223690022
3,-20,-0.01493785007010695,-0.01706397291459938,-0.017066914417895873,-0.010107790772551084,-0.020442836778467033,-0.01732961151862389,-0.02736262511768839,-0.009834058549695879,-0.020875437025558163,-0.016870739957375314
4,-10,-0.01548673244819998,-0.017100945735448736,-0.0169494385830804,-0.013835694121633324,-0.01879761722904938,-0.017162016376071065,-0.022024188252001142,-0.012752856617381791,-0.018855657229155387,-0.017024076644567288
5,0,-0.016991733182258884,-0.016991733182258884,-0.016991733182258884,-0.016991733182258884,-0.016991733182258884,-0.016921041620665545,-0.016991733182258884,-0.016991733182258884,-0.017101222692261775,-0.016991733182258884
6,10,-0.01894523720729069,-0.01717971653418804,-0.017080377771983013,-0.021756262886296618,-0.015518369747602456,-0.017058019662863355,-0.012572784989217656,-0.02067155230427442,-0.015510017679942756,-0.017139215043893152
7,20,-0.019468909844766458,-0.016982425552181102,-0.017182923811653872,-0.026000434921424898,-0.014308567245013837,-0.017118129793303183,-0.008141690789453815,-0.024332145329619692,-0.01405155345312048,-0.01702641452118181
8,30,-0.02101569429667771,-0.016812393038589946,-0.017209139808593843,-0.029347623446784876,-0.012787039113393295,-0.01849306609420509,-0.009871752185686145,-0.0277467832835554,-0.01236045511640027,-0.017199191654959645
9,40,-0.021814975729816943,-0.01603141351587123,-0.01718155101653185,-0.036778414637550494,-0.011909398618503708,-0.01568444367765487,-0.0023188216872971346,-0.03112864533425519,-0.012156195220647259,-0.01721276130711713
10,50,-0.022741654816083035,-0.016838264853846763,-0.017642583803201273,-0.04138983648576122,-0.010606351169584194,-0.016133604057666506,0.0022494502059267063,-0.034852255443884594,-0.00993101363238047,-0.01685164764618774
