,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,-40,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,-10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
6,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
9,40,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10,50,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
