,Change,KM_target,JUPCOST_target,SINNOVPATUS_target,TO_target,GROWTH_target,SRDUS_target,kappa,gamma,rho,nu_tilde
0,-50,5.796124903916136,3.671417573493344,3.4245616528034186,3.646894882409474,3.5500810851461115,3.4345700238411405,3.726640097113528,3.6456095545960348,3.54751752263908,3.581646169818057
1,-40,5.139755728734817,3.650452880155583,3.4641387532333927,3.636647517410449,3.5575221782421567,3.466494066250378,3.708354544433584,3.6426746903601908,3.5534909315000953,3.5820529153994674
2,-30,4.640687617672453,3.6300414151161076,3.4989905327410034,3.6241462003940397,3.56143658897377,3.499475818303769,3.6800433631937532,3.6215851174579927,3.560326134000258,3.58046157609616
3,-20,4.219530137681521,3.612500754518787,3.5287367158687517,3.60902925101434,3.5680145132125887,3.5285003760551654,3.6499608583489414,3.607216717730263,3.56686320000464,3.580716309521186
4,-10,3.8750634661998515,3.5954247877886365,3.555712760401619,3.591957135882841,3.5735635792554667,3.555339804732968,3.6168563055164316,3.597573759071671,3.5735583676873968,3.5801865583241472
5,0,3.579767306200133,3.579767306200133,3.579767306200133,3.579767306200133,3.579767306200133,3.580163225644478,3.579767306200133,3.579767306200133,3.5796594382422007,3.579767306200133
6,10,3.3268256437854697,3.564722910691327,3.6014741932568173,3.5679595932482093,3.5856268234454043,3.601796944818859,3.5398299695425193,3.5690168785104426,3.58579073396297,3.5795136974082493
7,20,3.1045585557257227,3.5507075922217437,3.6214525262097417,3.556969594941705,3.590461932715167,3.622219851339393,3.4958890222145382,3.558119047814183,3.5936699528914198,3.5814440231586233
8,30,2.9087609595719113,3.537878655263095,3.63976338197131,3.5479093164082736,3.5968627408217615,3.640313074057945,3.4370242659842623,3.551552007568076,3.598568180293368,3.579078421032308
9,40,2.7332992420691022,3.5279836638705167,3.6524252015705727,3.5379137876507216,3.6033128710491846,3.666923173000375,3.394474703004255,3.546587603597757,3.6019166858658784,3.5788853200775934
10,50,2.576734273829645,3.5135291492739085,3.64786160629361,3.530662026689167,3.607199914094496,3.687226251336901,3.356183170762798,3.539778803864927,3.61064496492223,3.5801004295548347
