variation,country,fixed fe / fo,target UUPCOST,target number of patents,delta baseline,delta 2005,delta 2005/baseline,delta 1992,static welfare change,dynamic welfare change,"static welfare change, fixed delta north","dynamic welfare change, fixed delta north"
6,EUR,Y,Y,All,0.0721,0.073,1.012,0.0578,0.9869,0.99,0.9996,0.9996
6,JAP,Y,Y,All,0.0565,0.0543,0.9623,0.078,1.0108,1.0068,0.9993,0.9994
6,CHN,Y,Y,All,0.0999,0.0978,0.979,0.174,1.0133,1.0097,1.015,1.012
6,BRA,Y,Y,All,0.1036,0.1029,0.9936,0.1201,1.0023,1.0005,1.0038,1.0027
6,IND,Y,Y,All,0.1828,0.1808,0.9888,0.397,1.0042,1.003,1.006,1.0053
6,ROW,Y,Y,All,0.7542,0.728,0.9652,0.6911,0.9974,0.997,0.9994,0.9994
7,USA,Y,Y,Inter. pats,0.0698,0.068,0.9752,0.0764,0.9953,0.9939,0.9994,0.9993
7,EUR,Y,Y,Inter. pats,0.0721,0.0743,1.0301,0.0941,1.0038,0.9998,0.9993,0.9992
7,JAP,Y,Y,Inter. pats,0.0565,0.0583,1.0318,0.1779,1.0228,1.0182,0.9989,0.999
7,CHN,Y,Y,Inter. pats,0.0999,0.1071,1.0717,0.2791,1.0141,1.0102,1.0207,1.0178
7,BRA,Y,Y,Inter. pats,0.1036,0.1078,1.0406,0.2014,1.0067,1.0031,1.0128,1.0104
7,IND,Y,Y,Inter. pats,0.1828,0.1882,1.0295,0.5512,1.0003,0.9986,1.0066,1.006
7,ROW,Y,Y,Inter. pats,0.7542,0.7538,0.9994,1.0548,0.992,0.9914,0.9996,0.9995
8,USA,Y,N,No,0.0698,0.0698,1.0001,0.0612,1.0011,1.0018,0.9998,0.9997
8,EUR,Y,N,No,0.0721,0.0723,1.0025,0.0575,0.9918,0.9963,0.9997,0.9997
8,JAP,Y,N,No,0.0565,0.0537,0.951,0.0552,1.0026,1.0034,0.9995,0.9996
8,CHN,Y,N,No,0.0999,0.0963,0.9637,0.1497,1.0161,1.0138,1.0121,1.0094
