,prob
1,0.6802074162033172
2,0.1270286584364699
3,0.08970734376363164
4,0.03054982974043095
5,0.025386860484314593
6,0.011175955972117055
7,0.006733666485394464
8,0.012637246356089387
9,0.009529045081018251
10,0.0070439774772166775
