origin,mean_a_all,mean_b_intl_excl_dom,mean_c_intl_incl_dom,P_size1_a,c_case,n_families_all,n_families_intl
USA,1.3005439782606625,4.918989500531533,5.918989500531534,0.9389012767300711,i (domestic first),0.0008279799865432113,5.0588520070843206e-05
EUR,3.3874769956160096,2.3874769956160096,3.3874769956160096,0.0,i (domestic first),0.00014163628496440778,0.00014163628496440778
JAP,2.9382230038163133,1.9382230038163135,2.9382230038163137,0.0,i (domestic first),9.340153346928342e-05,9.340153346928342e-05
CHN,2.3148315117081615,1.6804761707113727,2.6804761707113727,0.21758395946098286,i (domestic first),5.703675332320378e-05,4.462647070034173e-05
BRA,3.078428978073077,2.3117936613527217,3.078428978073077,0.23336468327964457,ii (intl first),8.608522191034508e-07,8.608522191034508e-07
CAN,2.0603246564543127,1.60914146759162,2.0603246564543127,0.5488168111373075,ii (intl first),2.192143003880308e-05,2.192143003880308e-05
KOR,3.843816429441617,2.843816429441617,3.8438164294416173,0.0,i (domestic first),3.573132119675149e-05,3.573132119675149e-05
RUS,3.1617097054964813,2.7133938566388602,3.1617097054964813,0.33077199316335104,ii (intl first),8.566338120373249e-07,8.566338120373249e-07
MEX,1.662838117637211,1.539010643089939,1.662838117637211,0.808239515004577,ii (intl first),1.124248034237256e-06,1.124248034237256e-06
ZAF,3.101495775209917,2.8530769243740735,3.101495775209917,0.16847506320158787,ii (intl first),4.0507198565254594e-07,4.0507198565254594e-07
