,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW
USA,0.6876070472189226,1.1542953245871128,2.4205400532921137,0.7339577823716077,0.7436284759720317,0.7204735290048928,0.8689778024798588,1.866525384514189,0.7688956313006063,0.6521703596025752,1.1132160844882175,0.7915676402344985
EUR,1.5305001933506899,0.5454392238510108,2.698186298366501,0.6204641139580207,0.613725656983476,0.5970995894205396,1.8938742633989936,1.7146016155660853,0.5531726953730529,0.6033955411982143,0.7396030991305403,0.6188686515805512
JAP,1.79022621221854,1.2482721709999187,0.6047725682001075,0.6432291638011164,0.7083871030616349,0.7427032839085654,2.2608257873374433,1.3938430221214353,0.6642075217746762,0.6960811825928594,0.8618293021198827,0.6731761416867319
CHN,1.895019181119324,1.05524710573903,1.5551360962233376,0.35231139535572664,0.5005462923799237,0.5050396245714035,1.3524860493169257,0.8035524893848288,0.4503135030088866,0.4607232909960768,0.6160085198679607,0.45712357003446313
BRA,1.4710080795249307,0.9336693920873559,3.207862361341252,0.6450225433133949,0.558634313645153,0.6249740519688954,1.8003531539872726,1.6059036944649214,0.6455407069287411,0.5813747694587788,0.8773112505116817,0.6532063002939729
IND,2.086756281272026,1.087632390211495,2.3623957550203456,0.6720550896024498,0.6889540757485311,0.6180162786068158,2.5419983344228707,1.2380715812780685,0.6865606643109105,0.7434084358622396,0.8124885972605393,0.6654417064636109
CAN,0.9396310732974393,1.1754673446938333,2.628809737398017,0.8021096130190172,0.8227118221258255,0.8260218526702059,0.7418256225736273,1.9147058596916415,0.9160794708915277,0.7408856746969958,1.144780387593017,0.8525313818716228
KOR,1.685773307356319,1.119350442770349,1.4112867759220669,0.6502636210676617,0.7692013970725269,0.7050672633888228,2.427052455128315,0.6054884533971315,0.6482647014109102,0.664264945779018,0.8947504068549162,0.6772261727819326
RUS,2.154153238408769,0.8695233421097739,2.6823535694330385,0.7302738356945112,0.7342024442648659,0.8000491868697944,2.6352927843959235,1.860626415414396,0.6704264581915035,0.7946342410681727,1.2368359123111816,0.7321505286511022
MEX,0.9430524684085342,1.1815152998076859,1.9795304685754538,0.7943117305332209,0.7975407499326544,0.8586611986417633,1.1266619103581865,1.2898507841554645,0.934290325008899,0.749878651620914,1.6245456313650664,0.8581187216063622
ZAF,1.9532221918250443,0.9122888350754486,2.4125240818358766,0.7512338842172012,0.7521802488690463,0.7249867157232786,2.528210088302162,1.816226227575249,0.843587878763693,0.7503461655018037,0.7008289770884011,0.7609455625990187
ROW,1.5145658905395216,0.9370710877701175,1.5709986415099282,0.7237515276368421,0.717131932910671,0.7136292959359617,1.8457603010753851,1.1478857386382597,0.713748823949169,0.7120171874088738,0.7465851046378398,0.6857108181990339
