destination_code,origin_code,calibration data,WIPO data,baseline,alternative 1,alternative 2,alternative 3,alternative 4,alternative 5,alternative 6,alternative 7,julian latest code,x
1,1,207867.0,52520.0,191533.5175328236,204064.31624584063,188739.63189749565,190674.78095238665,120211.5175328252,76369.06583169049,191542.5175328241,188739.6318974964,112067.21365257504,"US,US"
1,2,71325.0,50143.0,54834.08541948495,58191.14702351172,45581.69402742777,55130.229761909584,54834.08541948456,27806.739062876863,54834.085419484414,45581.6940274275,47267.69277943764,"US,EU"
1,3,71994.0,62900.0,55677.26479100927,59518.57202534391,51857.55249774705,55643.22023809546,55677.26479100928,35866.16190321889,55677.26479100924,51857.552497746925,53132.0061240918,"US,JAP"
1,4,2127.0,5814.0,5300.952454933252,5675.059471813446,3736.430088410904,5484.177380952363,5300.952454933263,2153.690195070468,5300.95245493326,3736.430088410911,3748.9477350474335,"US,CHN"
1,5,295.0,257.0,361.4992993212021,387.9804497123928,236.96199773390035,372.5761904761905,361.4992993212019,93.4506465867904,361.499299321202,236.9619977339004,244.13711539842188,"US,BRA"
1,6,1463.0,1050.0,1401.080179398053,1456.9143713172468,1072.381669574545,1493.48333333333,1401.0801793980545,571.1045292736511,1401.0801793980545,1072.3816695745425,1023.4034917047248,"US,IND"
1,7,35662.0,31905.0,44843.22532302859,50044.63541245815,41096.97282160868,45152.03214285773,44843.22532302858,22982.41283128387,44843.22532302866,41096.97282160837,42589.05375550932,"US,ROW"
2,1,79801.0,,23611.743212544567,25497.366625899944,8174.044199514863,23357.442936968186,23611.743212544698,7909.759944159575,8174.044199514883,17137.76962353257,7882.674633820511,"EU,US"
2,2,145691.0,,42794.41024187408,44726.93112369644,28902.040786534308,42765.33627183463,39675.14379789718,20879.59524692958,28902.04078653433,39059.08624571313,26275.946262648715,"EU,EU"
2,3,37860.0,,11948.532279170724,12436.242413247215,5409.717014912519,11940.296174479408,11948.532279170671,5104.939596978616,5409.717014912532,10025.376022471992,5458.292347790823,"EU,JAP"
2,4,1108.0,,1503.7443024848792,1570.964814904053,445.4675263595354,1573.6604247446996,1503.7443024848794,424.0046952686256,445.4675263595339,757.3103321906759,429.48507252818,"EU,CHN"
2,5,265.0,,137.0207803665494,146.95126373423258,38.20989711211679,143.35421133957112,137.02078036654913,36.75223933027442,38.20989711211678,84.63022076425639,37.18765521363119,"EU,BRA"
2,6,951.0,,442.0964657591635,450.4272448327822,115.7951007513512,486.93636492261743,442.0964657591643,116.47695383517248,115.79510075135128,265.1291369346981,94.90829154040368,"EU,IND"
2,7,23305.0,,7939.819633182697,8448.215635392726,2872.2778529751963,8109.793210578922,7939.819633182775,2646.993672996905,2872.277852975224,5918.741144900014,2865.9029282753736,"EU,ROW"
3,1,23811.0,27491.0,21353.687741601065,22885.000909654027,21353.687741601032,21152.05714285704,21353.68774160109,9958.276961086098,21353.687741601047,21353.68774160117,20816.63055431808,"JAP,US"
3,2,23131.0,25581.0,22342.6326927034,23276.858894867448,22342.63269270341,22286.02499999955,22342.6326927033,10902.61891086866,22342.63269270344,22342.63269270328,23011.93272216525,"JAP,EU"
3,3,367960.0,68970.0,358944.9707304982,366262.4538474052,358944.9707304985,358826.608333333,53514.970730499765,134154.28792237557,358944.9707304987,358944.9707304989,62878.48271134682,"JAP,JAP"
3,4,397.0,1212.0,763.8188921154589,793.8189763449554,763.8188921154593,866.5583333333353,763.8188921154585,393.0093765161309,763.8188921154593,763.8188921154585,752.1559780859388,"JAP,CHN"
3,5,59.0,80.0,62.08979822612241,66.69237718874196,62.08979822612245,65.55952380952382,62.08979822612242,29.79151986799686,62.08979822612243,62.08979822612243,60.94281602278352,"JAP,BRA"
3,6,154.0,184.0,192.4464457109472,195.98255682205811,192.44644571094707,235.35000000000025,192.4464457109471,77.3057555812325,192.4464457109471,192.4464457109472,169.09821025747806,"JAP,IND"
3,7,11565.0,11718.0,10426.228699143609,11300.067437717282,10426.2286991436,10653.341666666696,10426.22869914358,4877.7095537044,10426.228699143629,10426.228699143636,10978.798754293122,"JAP,ROW"
4,1,18073.0,25755.0,20412.655665588238,21750.50492581183,20412.65566558818,20223.503571428537,20412.65566558821,11815.595099323627,20412.65566558822,20412.655665588165,20143.751386867487,"CHN,US"
4,2,20404.0,26656.0,23248.677505244665,24136.37957287504,23248.677505244774,23166.867857142268,23248.677505244672,14568.689067800162,23248.677505244686,23248.677505244712,24127.494477077853,"CHN,EU"
4,3,30976.0,36146.0,28565.1810079716,30109.96983303539,28565.1810079716,28501.101190476114,28565.18100797162,20477.17153289915,28565.1810079716,28565.181007971594,30580.835403822828,"CHN,JAP"
4,4,93485.0,5088.0,86726.29012812904,87370.06939012515,86726.290128129,86862.83452380938,78142.29012812904,46574.15662420401,86726.29012812894,86726.290128129,78730.74782851571,"CHN,CHN"
4,5,61.0,90.0,75.93539834299055,79.501982907851,75.93539834299055,83.16666666666666,75.93539834299054,44.59938813741512,75.93539834299058,75.93539834299054,75.27079393900931,"CHN,BRA"
4,6,198.0,210.0,226.24641516519128,227.7642723080484,226.2464151651913,276.98333333333346,226.2464151651911,101.04474153812312,226.2464151651913,226.24641516519125,193.50186233315617,"CHN,IND"
4,7,10202.0,15567.0,13439.013879558152,14446.81002293647,13439.013879558148,13579.542857143028,13439.013879558135,8258.743546097381,13439.013879558172,13439.013879558146,14092.952834920608,"CHN,ROW"
5,1,6153.0,8177.0,6590.086016706757,6906.666870900193,6590.086016706761,6497.549999999945,6590.086016706747,1320.7868395845292,6590.086016706744,6590.086016706765,6275.648523275391,"BRA,US"
5,2,4944.0,9075.0,7894.755196595259,8107.626412961926,7894.755196595242,7823.866666666417,7894.755196595265,2081.6326917759384,7894.755196595269,7894.755196595259,8066.005934265675,"BRA,EU"
5,3,745.0,1369.0,1075.5314540402578,1085.7814540402578,1075.5314540402585,1079.750000000001,1075.5314540402587,362.57012604301343,1075.5314540402585,1075.5314540402585,1066.0569529477507,"BRA,JAP"
5,4,195.0,172.0,145.7215610802654,149.9179896516939,145.72156108026536,176.38333333333338,145.72156108026525,54.69828839577812,145.72156108026533,145.72156108026533,135.0094890105538,"BRA,CHN"
5,5,4054.0,291.0,3885.953812153122,3909.520396717983,3885.953812153124,3889.866666666667,3760.953812153124,623.9088963064047,3885.953812153123,3885.953812153123,3841.543277846649,"BRA,BRA"
5,6,74.0,125.0,124.47992654589756,124.78761885358986,124.47992654589753,157.66666666666663,124.47992654589756,24.35281707884594,124.47992654589756,124.4799265458976,109.56914417538792,"BRA,IND"
5,7,2472.0,1572.0,1281.0970328784267,1338.3242568743578,1281.0970328784276,1371.416666666664,1281.0970328784294,236.0503408154929,1281.097032878428,1281.0970328784251,1254.887851796695,"BRA,ROW"
6,1,8048.0,10108.0,61.63967421665294,62.63967421665294,61.63967421665295,58.900000000000006,61.63967421665295,11.853978919631093,61.63967421665295,61.63967421665295,167.10071767866611,"IND,US"
6,2,6519.0,11373.0,46.00807625023525,46.00807625023524,46.008076250235234,44.48333333333336,46.008076250235234,7.02330039525692,46.00807625023524,46.00807625023525,77.82260285480879,"IND,EU"
6,3,1555.0,2374.0,20.39538564051307,20.395385640513076,20.39538564051307,20.833333333333336,20.395385640513076,1.4999999999999996,20.39538564051307,20.39538564051307,19.81312416214496,"IND,JAP"
6,4,224.0,313.0,0.8407237184790269,0.8407237184790269,0.8407237184790269,2.333333333333333,0.8407237184790269,0.4909090909090909,0.8407237184790269,0.8407237184790269,0.5481760571710765,"IND,CHN"
6,5,55.0,49.0,,,,,,,,,0.0,"IND,BRA"
6,6,4721.0,835.0,1244.125,1245.125,1244.125,1244.5,7.125,3.0,1244.125,1244.125,1067.2561066085473,"IND,IND"
6,7,3259.0,2513.0,9.99114017411971,9.991140174119712,9.991140174119712,11.95,9.991140174119712,2.131811594202899,9.991140174119714,9.991140174119712,34.459273663698696,"IND,ROW"
7,1,39903.0,,4817.445350508825,5143.344122848535,4817.445350508835,4738.652034629002,4817.445350508879,2455.0790791532445,4817.44535050887,4817.44535050882,6122.311916411621,"ROW,US"
7,2,34640.0,,3888.305866719289,4014.582112063209,3888.30586671924,3883.8847711083376,3888.305866719234,2167.641298344811,3888.305866719218,3888.305866719234,5248.896686461937,"ROW,EU"
7,3,18930.0,,2334.016190593093,2471.8414589259173,2334.0161905930986,2336.115118942724,2334.0161905931086,1590.322546342872,2334.0161905930904,2334.016190593097,2868.420743562552,"ROW,JAP"
7,4,554.0,,157.4460714363096,164.17690332661348,157.44607143630896,179.25639044572048,157.446071436309,108.8804260297554,157.44607143630918,157.4460714363096,202.6510512495821,"ROW,CHN"
7,5,133.0,,19.07552245403181,20.193230225211064,19.075522454031784,20.68721280336252,19.075522454031816,9.87954436589367,19.0755224540318,19.075522454031784,26.72225325670208,"ROW,BRA"
