destination_code,origin_code,baseline,WIPO data,x
5.0,7.0,230.6867606827104,235.0,"BRA,CAN"
5.0,8.0,328.57514100074985,465.0,"BRA,KOR"
5.0,9.0,21.170991596162555,25.0,"BRA,RUS"
5.0,10.0,185.18631232904283,204.0,"BRA,AUS"
5.0,11.0,45.49423399702126,45.0,"BRA,MEX"
5.0,12.0,0.7714285714285715,,"BRA,IDN"
6.0,1.0,61.63967421665295,10108.0,"IND,US"
6.0,3.0,20.39538564051307,2374.0,"IND,JAP"
6.0,4.0,0.8407237184790269,313.0,"IND,CHN"
6.0,7.0,3.880079568059108,388.0,"IND,CAN"
6.0,8.0,2.999999999999999,821.0,"IND,KOR"
6.0,9.0,0.0816666666666666,49.0,"IND,RUS"
6.0,11.0,0.4090909090909091,18.0,"IND,MEX"
7.0,1.0,17726.71927833518,22265.0,"CAN,US"
7.0,3.0,2373.905217582973,3021.0,"CAN,JAP"
7.0,4.0,262.91797894611653,318.0,"CAN,CHN"
7.0,5.0,56.715965569881305,66.0,"CAN,BRA"
7.0,6.0,168.4110565735975,167.0,"CAN,IND"
7.0,8.0,462.2014283395866,565.0,"CAN,KOR"
7.0,9.0,57.58402601812218,56.0,"CAN,RUS"
7.0,10.0,561.1118803498799,691.0,"CAN,AUS"
7.0,11.0,41.46062232836955,34.0,"CAN,MEX"
7.0,12.0,0.2254901960784313,,"CAN,IDN"
8.0,1.0,10837.45703780426,13465.0,"KOR,US"
8.0,3.0,15633.610682079168,20367.0,"KOR,JAP"
8.0,4.0,790.8149086959789,679.0,"KOR,CHN"
8.0,5.0,30.20307422046553,42.0,"KOR,BRA"
8.0,6.0,131.88602718993928,135.0,"KOR,IND"
8.0,7.0,361.2969120300965,386.0,"KOR,CAN"
8.0,9.0,50.50501717775869,50.0,"KOR,RUS"
8.0,10.0,221.21483398154035,353.0,"KOR,AUS"
8.0,11.0,12.0448906932662,7.0,"KOR,MEX"
8.0,12.0,1.4588235294117646,1.0,"KOR,IDN"
9.0,1.0,3056.6798184127224,4112.0,"RUS,US"
9.0,1.0,3056.6798184127224,,"RUS,US"
9.0,3.0,989.4068190835944,1305.0,"RUS,JAP"
9.0,3.0,989.4068190835944,,"RUS,JAP"
9.0,4.0,173.840736008012,225.0,"RUS,CHN"
9.0,4.0,173.840736008012,,"RUS,CHN"
9.0,5.0,22.439212948131352,31.0,"RUS,BRA"
9.0,5.0,22.439212948131352,,"RUS,BRA"
9.0,6.0,46.06163648544675,57.0,"RUS,IND"
9.0,6.0,46.06163648544675,,"RUS,IND"
9.0,7.0,118.46198993842404,140.0,"RUS,CAN"
9.0,7.0,118.46198993842404,,"RUS,CAN"
9.0,8.0,541.751161372144,719.0,"RUS,KOR"
9.0,8.0,541.751161372144,,"RUS,KOR"
9.0,10.0,94.82490951368231,141.0,"RUS,AUS"
9.0,10.0,94.82490951368231,,"RUS,AUS"
9.0,11.0,12.59612604457805,10.0,"RUS,MEX"
9.0,11.0,12.59612604457805,,"RUS,MEX"
10.0,1.0,10225.99882743707,12577.0,"AUS,US"
10.0,3.0,1581.2088579973574,2077.0,"AUS,JAP"
10.0,4.0,230.79377366842115,250.0,"AUS,CHN"
10.0,5.0,33.9522834949006,34.0,"AUS,BRA"
10.0,6.0,154.4870641052182,155.0,"AUS,IND"
10.0,7.0,520.3130182105147,537.0,"AUS,CAN"
10.0,8.0,431.0709428095632,648.0,"AUS,KOR"
10.0,9.0,22.75591299406888,18.0,"AUS,RUS"
10.0,11.0,11.302061900363784,9.0,"AUS,MEX"
10.0,12.0,3.1781217750258,3.0,"AUS,IDN"
11.0,1.0,4824.325040974682,8594.0,"MEX,US"
11.0,3.0,375.6210835523176,700.0,"MEX,JAP"
11.0,4.0,39.004086967321406,50.0,"MEX,CHN"
11.0,5.0,36.3051459341091,56.0,"MEX,BRA"
11.0,6.0,51.760538735083735,90.0,"MEX,IND"
11.0,7.0,163.45691661164892,242.0,"MEX,CAN"
11.0,8.0,201.16910880354,455.0,"MEX,KOR"
11.0,9.0,8.858369974228227,9.0,"MEX,RUS"
11.0,10.0,71.27845749602638,127.0,"MEX,AUS"
