origin,a_model,a_data,b_model,b_data,c_model,c_data
USA,1.3005439782606625,1.4360430328770402,4.918989500531533,2.156711903108429,5.918989500531534,3.0666603528962884
EUR,3.3874769956160096,1.311956865760343,2.3874769956160096,2.4796217144263353,3.3874769956160096,2.8905199638216423
JAP,2.9382230038163133,1.4148855607147972,1.9382230038163135,1.9185504277976,2.9382230038163137,2.799381244117688
CHN,2.3148315117081615,1.0331796488885563,1.680476170711373,1.6387310456120352,2.6804761707113727,2.4393735494181823
BRA,3.078428978073077,1.1586208649009369,2.3117936613527217,1.8456092537041349,3.078428978073077,2.4826556226223695
CAN,2.0603246564543127,1.851262355773579,1.60914146759162,1.5380451448534929,2.0603246564543127,2.046102745924713
KOR,3.843816429441617,1.2640188342608631,2.843816429441617,1.7393066909020418,3.8438164294416177,2.566794389025975
RUS,3.1617097054964813,1.0243473114646335,2.71339385663886,1.885526743580778,3.1617097054964813,2.5325575412879555
MEX,1.662838117637211,1.245821279745189,1.539010643089939,2.1216537916268186,1.662838117637211,2.6618383993357573
ZAF,3.101495775209917,1.302402996274946,2.8530769243740735,2.210276885989084,3.101495775209917,2.736226019928953
